Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
sami and amira  playing in the garden,,les boys tv2,2022-05-08 09:37:00+00:00,"['expirment', 'car']",1,3:12,-1,-1,24104,0,hd,True,vYHsSU5RRUs,0.0,0.0
sami and amira opened new toys,,les boys tv2,2022-05-07 10:35:06+00:00,"['expirment', 'car']",1,3:21,-1,-1,10206,0,hd,True,a4JNsTaS5zE,0.0,0.0
Sami And Amira play with New Surprises for kids,Sami And Amira play with New Surprises for kids,les boys tv2,2022-05-06 09:06:28+00:00,"['expirment', 'car']",1,3:9,-1,-1,18967,0,hd,True,sBt6uHqsduI,0.0,0.0
Learning Videos sami amira,,les boys tv2,2022-05-03 14:08:00+00:00,"['expirment', 'car']",1,2:8,-1,-1,13181,0,hd,True,rqvzb8vDAgQ,0.0,0.0
Learning Videos sami amira,,les boys tv2,2022-05-01 12:15:16+00:00,"['expirment', 'car']",1,2:8,-1,-1,15245,0,hd,True,OD-y2abA7vQ,0.0,0.0
amira don't touch candy,,les boys tv2,2022-04-28 08:18:22+00:00,[],1,2:23,-1,-1,25546,0,hd,True,iEOlpOlEOzY,0.0,0.0
bebe amira mange la pastèque,,les boys tv2,2022-04-26 09:09:54+00:00,"['expirment', 'car']",1,3:50,-1,-1,27219,0,hd,True,rwMZGIQAyZU,0.0,0.0
Baby amira and  baby cocomelon,,les boys tv2,2022-04-25 12:40:35+00:00,[],1,3:5,-1,-1,14160,0,hd,True,nhmNTCBZFuQ,0.0,0.0
Learn colors with Balloons ! Kids and daddy have fun playtime with color song,,les boys tv2,2022-04-25 12:15:55+00:00,"['expirment', 'car']",1,3:30,-1,-1,11918,0,hd,True,RxnCBk_BCUI,0.0,0.0
Kids Learning Videos sami amira,,les boys tv2,2022-04-24 13:47:04+00:00,"['expirment', 'car']",1,2:19,-1,-1,25771,0,hd,True,KVJ78R_b_Dw,0.0,0.0
Baby amira learns to brush her teeth,,les boys tv2,2022-04-22 09:37:51+00:00,[],1,2:39,-1,-1,24627,0,hd,True,lEXmcHS6y5c,0.0,0.0
kids and police sami adel,,les boys tv2,2022-04-21 09:19:41+00:00,"['expirment', 'car']",1,3:4,-1,-1,14971,0,hd,True,iNCdbPEGNoI,0.0,0.0
Amira Pretend Play Babysitting Cry Baby Dolls w/ Nursery Playset Girl Toys,,les boys tv2,2022-04-20 10:46:27+00:00,[],1,1:53,-1,-1,46912,0,hd,True,McjgBMa_wHQ,0.0,0.0
baby amira eats fruit adel sami,,les boys tv2,2022-04-19 10:45:20+00:00,"['expirment', 'car']",1,3:8,-1,-1,13863,0,hd,True,7SYyABGu-M8,0.0,0.0
Amira playing in the pool with her daddy,,les boys tv2,2022-04-15 11:37:49+00:00,[],1,3:20,-1,-1,31551,0,hd,True,ZdHRLZmo0Uw,0.0,0.0
baby amira eats fruit adel sami,,les boys tv2,2022-04-14 08:50:26+00:00,"['expirment', 'car']",1,3:44,-1,-1,15735,0,hd,True,zmsP-fSUkX8,0.0,0.0
baby amira eats fruit adel sami,,les boys tv2,2022-04-13 09:54:24+00:00,"['expirment', 'car']",1,3:29,-1,-1,41458,0,hd,True,NXJRey_6b00,0.0,0.0
sami Pretend Play with a Giant Inflatable Playhouse Swimming Pool Toy,,les boys tv2,2022-04-11 11:48:39+00:00,"['expirment', 'car']",1,3:38,-1,-1,58615,0,hd,True,JO7bYznAvng,0.0,0.0
baby amira and sami,,les boys tv2,2022-04-11 11:47:09+00:00,"['expirment', 'car']",1,3:30,-1,-1,23159,0,hd,True,3QtgTUmy7dU,0.0,0.0
sami and amira Pretend Play Magic Stories,,les boys tv2,2022-04-10 09:43:25+00:00,"['expirment', 'car']",1,2:50,-1,-1,18128,0,hd,True,2acySLHHiRw,0.0,0.0
Kids Learning Videos,,les boys tv2,2022-04-10 09:41:47+00:00,"['expirment', 'car']",1,2:16,-1,-1,14090,0,hd,True,5qP_Pro500g,0.0,0.0
Kids Learning Videos sami amira,,les boys tv2,2022-04-10 09:41:23+00:00,"['expirment', 'car']",1,3:53,-1,-1,34234,0,hd,True,HSHtZ8XKPEE,0.0,0.0
Kids Learning Videos adel sami,,les boys tv2,2022-04-10 09:40:38+00:00,"['expirment', 'car']",1,1:35,-1,-1,15206,0,hd,True,iOmfkW4_kDY,0.0,0.0
Funny stories with Toys for children,,les boys tv2,2022-04-03 09:57:57+00:00,"['expirment', 'car']",1,1:8,-1,-1,29521,0,hd,True,py5zrUgOGCY,0.0,0.0
Sami And nisa - funny stories with Toys for children,,les boys tv2,2022-04-03 09:57:09+00:00,"['expirment', 'car']",1,2:38,-1,-1,18487,0,hd,True,bBb8VJZ7oPE,0.0,0.0
Sami pretend play selling ice cream,,les boys tv2,2022-04-03 09:55:12+00:00,"['expirment', 'car']",1,3:9,-1,-1,53481,0,hd,True,gzg2kho7MFA,0.0,0.0
Baby Amira Pretend Play with Luggage Suitcase Toys | Fun Vacation Travel Toy for Kids,,les boys tv2,2022-04-01 09:15:59+00:00,"['expirment', 'car']",1,3:20,-1,-1,43920,0,hd,True,_nDZhMu8MVc,0.0,0.0
Doctor Baby Amira Pretend Play Checkup Uncle Mike | Funny Kids Video,,les boys tv2,2022-04-01 09:06:14+00:00,"['expirment', 'car']",1,3:27,-1,-1,18075,0,hd,True,aPxoAip7Sp0,0.0,0.0
Sami and Amira  stories for children about animals,,les boys tv2,2022-04-01 09:04:14+00:00,"['expirment', 'car']",1,2:14,-1,-1,45662,0,hd,True,kNHS6lCYMy4,0.0,0.0
