Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
Niska - Versus (Feat MHD),"Extrait de ""COMMANDO"", disponible ici → https://Niska.lnk.to/Commando 
Réalisé par HoBo & Mojo
Compositeur : Dany Synthé

* Niska le 24 Avril au Zenith de Paris *
 Place de concert disponible Ici : http://bit.ly/Niska-enconcert 

Abonne-toi ici: http://bit.ly/1DLzyMb

 -- 

Tous les clips officiels de Niska: http://bit.ly/2gYbroW 
Tous les freestyles de Niska: http://bit.ly/2gyEDpF

 --

Retrouvez Niska sur: 
Facebook: https://www.facebook.com/NiskaOfficiel 
Twitter: https://twitter.com/Niska_Officiel 
Instagram: https://instagram.com/niska_officiel/ 
YoutubeVEVO: https://www.youtube.com/user/NISKAVEVO 
Shop (CHARO) officiel: http://www.charo-shop.com/fr/ 
Snapchat: niska_snap 
Périscope: Niska_Officiel",Niska Officiel,2018-04-13 14:17:19+00:00,"['niska', 'mhd', 'versus', 'salé', 'réseaux', 'afrotrap', 'ninho', 'booba', 'niska mhd', 'niska versus', 'niska mhd versus', 'ninho mils 2', 'booba trone', 'booba niska', 'charo', 'dadju', 'dadju niska', 'niska BOC', 'rap', 'commando', 'niska commando', 'evry', 'charlie delta', '91']",10,3:48,9290,260476,22284630,0,hd,False,hOiHshb3BKs,4.0,3 days 00:00:00
Skaodi - GPS,"Skaodi -  GPS
Abonne-toi ici: http://bit.ly/1DLzyMb 

--

Suivez Skaodi sur :
Snapchat : Skaodizy 
Facebook : https://www.facebook.com/SkaodiOfficiel/
Instagram : https://www.instagram.com/skaodi_negr...

Pour s'habiller en CHARO : http://www.charo-shop.com/
Réalisation signée : Jawad Adjoudj
Prod by : Teflonkwam",Niska Officiel,2018-03-20 19:00:01+00:00,"['Niska', 'Medelin', 'Gps', 'Skaodi', 'Gradur', 'MHD', 'Sheguey12', 'Ninho', '6ix9ine', 'Billy']",10,4:4,2564,52223,1904255,0,hd,True,kFBqkn9MdeA,0.0,0.0
Niska - Medellín,"Niska «Medellín», extrait de ""COMMANDO"", disponible ici → https://Niska.lnk.to/Commando 
Réalisé par Nicolas Noël 
Compositeur : Christopher Ghenda

* Niska en tournée *
 Place de concert disponible Ici : http://bit.ly/Niska-enconcert 

Abonne-toi ici: http://bit.ly/1DLzyMb

 -- 

Tous les clips officiels de Niska: http://bit.ly/2gYbroW 
Tous les freestyles de Niska: http://bit.ly/2gyEDpF

 --

Retrouvez Niska sur: 
Facebook: https://www.facebook.com/NiskaOfficiel 
Twitter: https://twitter.com/Niska_Officiel 
Instagram: https://instagram.com/niska_officiel/ 
YoutubeVEVO: https://www.youtube.com/user/NISKAVEVO 
Shop (CHARO) officiel: http://www.charo-shop.com/fr/ 
Snapchat: niska_snap 
Périscope: Niska_Officiel",Niska Officiel,2018-03-19 19:00:23+00:00,"['niska', 'kalash', 'booba', 'marwa loud', 'lartiste', 'kaaris', 'orelsan', 'gradur', 'damso', 'dosseh', '13block', 'migos', 'drake', 'quavo', 'stefflon don']",10,5:18,10288,298305,34906098,0,hd,False,Eoyk_JEHxUQ,4.0,3 days 00:00:00
Madrane - Force (Clip officiel),"Abonne-toi ici: http://bit.ly/1DLzyMb 

Suivez Madrane sur :
https://www.facebook.com/madraneoffic...
https://twitter.com/madraneofficiel
https://www.instagram.com/madrane_off...

Réalisation : William Thomas 
Prod by  : Tyron 808",Niska Officiel,2018-02-18 18:00:02+00:00,"['niska', 'matuidi', 'charo', 'commando', 'rap', 'zifukoro', 'booba', 'mhd', 'gradur', 'trap', '91', 'violence', 'gros bonnets', 'evry', 'charlie', 'delta', 'charlie delta', 'charo life', 'pyramides', 'epinnettes', 'parc aux lievres', 'bois sauvage', 'aunettes', 'koba', 'koba la d', 'ninho', 'pnl', 'réseaux', 'salé', 'tuba life', 'medellin', 'boc']",10,3:21,5569,98989,6146898,0,hd,True,TziniUz0tS8,4.0,3 days 00:00:00
Niska - Tubalife Feat. Booba,"Single extrait de ""Commando"" disponible partout : https://Niska.lnk.to/Commando

* Niska en tournée *
Place de concert disponible Ici  : http://bit.ly/Niska-enconcert


Abonne-toi ici: http://bit.ly/1DLzyMb 
--
Prod by Dj Ken
Réalisation vidéo : Chris Macari

--
Tous les clips officiels de Niska: http://bit.ly/2gYbroW
Tous les freestyles de Niska: http://bit.ly/2gyEDpF
--
Retrouvez Niska sur:
Facebook: https://www.facebook.com/NiskaOfficiel
Twitter: https://twitter.com/Niska_Officiel
Instagram: https://instagram.com/niska_officiel/
YoutubeVEVO: https://www.youtube.com/user/NISKAVEVO
Shop (CHARO) officiel: http://www.charo-shop.com/fr/
Snapchat: niska_snap
Périscope: Niska_Officiel",Niska Officiel,2018-01-03 10:53:46+00:00,"['Niska', 'Charo', 'Reseaux', 'Pouloulou', 'Booba', 'Matuidi', 'Commando', 'DUC', 'TubaLife', 'Rap', 'Neymar', 'clip', 'skaodi', 'Mhd', 'Gradur', 'evry', 'violence', '2018', 'champigny', 'sur', 'marne', 'policiere', 'kedusal', 'boc', 'chasse', ""a l'homme"", 'salé', '91', 'essonne', 'que du sale', 'sal', 'album']",10,4:25,26993,609073,67198965,0,hd,False,JctVyGslOtw,4.0,3 days 00:00:00
