Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
LA MUSIQUE PEUT DONNER UN ORGASME !? Vrai ou Faux #75,"Pour le prochain épisode, dis moi un truc vrai ou faux sur ""la téléphonie"" dans les commentaires !
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s
Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl 
 
Twitch : www.twitch.tv/docnozman
Facebook : http://on.fb.me/1qEkh9H
Twitter : https://twitter.com/DrNozman
Instagram : https://instagram.com/docnozman/
Snapchat : Drnozman
Le Tipeee : https://www.tipeee.com/dr-nozman

Aide à l'écriture / Montage : Pikup (sa chaîne)
https://www.youtube.com/channel/UCVCm...


A très bientôt pour la prochaine vidéo ! 

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-06-08 16:00:21+00:00,"['dr nozman', 'nozman', 'vrai ou faux', 'science', 'musique']",28,12:59,22133,100217,1878859,0,hd,True,q3kigqP_j1k,4.0,3 days 00:00:00
J'OUVRE LA PLUS GROSSE GÉODE !,"7ème épisode des opening de géode, en quête de cristaux stylés ! (pouce en l'air ?)
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Aide à l'identification : https://twitter.com/MrPourquoi

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s
Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl

Facebook : http://on.fb.me/1qEkh9H
Twitter : https://twitter.com/DrNozman
Instagram : https://instagram.com/docnozman/
Snapchat : Drnozman
Le Tipeee : https://www.tipeee.com/dr-nozman

A très bientôt pour la prochaine vidéo !

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-06-05 15:59:37+00:00,"['dr nozman', 'nozman', 'docteur nozman', 'géode', 'science']",28,10:7,7590,152363,5058745,0,hd,True,1Bc08b4jcCI,0.0,0.0
COMMENT UN MUSCLE DEVIENT ÉNORME ? Vrai ou Faux #74,"Pour le prochain épisode, dis moi un truc vrai ou faux sur ""la musique"" dans les commentaires !
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s
Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl 
 
Twitch : www.twitch.tv/docnozman
Facebook : http://on.fb.me/1qEkh9H
Twitter : https://twitter.com/DrNozman
Instagram : https://instagram.com/docnozman/
Snapchat : Drnozman
Le Tipeee : https://www.tipeee.com/dr-nozman

Aide à l'écriture / Montage : Pikup (sa chaîne)
https://www.youtube.com/channel/UCVCm...


A très bientôt pour la prochaine vidéo ! 

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-06-01 15:59:03+00:00,"['dr nozman', 'nozman', 'docteur nozman', 'vrai ou faux']",28,10:37,23127,117468,1993289,0,hd,True,ImtFgGq_n24,3.0,2 days 00:00:00
CE RAT EST IMMORTEL ? Vrai ou Faux #73,"Pour le prochain épisode, dis moi un truc vrai ou faux sur ""les muscles"" dans les commentaires !
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s
Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl 
 
Twitch : www.twitch.tv/docnozman
Facebook : http://on.fb.me/1qEkh9H
Twitter : https://twitter.com/DrNozman
Instagram : https://instagram.com/docnozman/
Snapchat : Drnozman
Le Tipeee : https://www.tipeee.com/dr-nozman

Aide à l'écriture / Montage : Pikup (sa chaîne)
https://www.youtube.com/channel/UCVCm...


A très bientôt pour la prochaine vidéo ! 

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-05-25 16:07:39+00:00,"['dr nozman', 'nozman', 'docteur nozman', 'vrai ou faux', 'science']",28,11:18,29545,116792,2484137,0,hd,True,QwSQSSM6OQY,4.0,3 days 00:00:00
DE L'ACIDE SUR UNE DENT ! Will It Dissolve,"N'oubliez pas le pouce en l'air si vous avez apprécié, merci à tous :)
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s Eclairage : http://amzn.to/
2pbu91k // http://amzn.to/2o86pdp Trépied : http://amzn.to/2pbiVtl

Aide à l’écriture/préparation : @Brusicor02
https://bit.ly/2x0jkH2

Snapchat : Drnozman
Instagram : https://instagram.com/docnozman/ https://www.instagram.com/nozmacro/
Twitter : https://twitter.com/DrNozman
Facebook : http://on.fb.me/1qEkh9H
Compte Tipeee : https://www.tipeee.com/dr-nozman

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-05-22 15:59:03+00:00,"['dr nozman', 'nozman', 'docteur nozman', 'acide', 'dent']",28,6:16,5593,86965,1779646,0,hd,True,_E0eli9kcFg,3.0,2 days 00:00:00
COMMENT SE FABRIQUE UN DIAMANT ? Vrai ou Faux #72,"Pour le prochain épisode, dis moi un truc vrai ou faux sur ""les rongeurs"" dans les commentaires !
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Merci à MrPourquoi pour la relecture : https://twitter.com/MrPourquoi

Animation 3:56 : In a NutShell
https://www.youtube.com/watch?v=qsN1LglrX9s

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s
Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl 
 
Twitch : www.twitch.tv/docnozman
Facebook : http://on.fb.me/1qEkh9H
Twitter : https://twitter.com/DrNozman
Instagram : https://instagram.com/docnozman/
Snapchat : Drnozman
Le Tipeee : https://www.tipeee.com/dr-nozman

Aide à l'écriture / Montage : Pikup (sa chaîne)
https://www.youtube.com/channel/UCVCm...


A très bientôt pour la prochaine vidéo !

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-05-18 15:59:05+00:00,"['dr nozman', 'nozman', 'docteur nozman', 'diamant', 'science']",28,9:28,22529,104498,2151014,0,hd,True,8cxfxujQI2s,3.0,2 days 00:00:00
OBSERVONS L’INTÉRIEUR D'UN CERVEAU AU MICROSCOPE !,"N'oubliez pas le pouce en l'air si vous avez apprécié, merci à tous :)
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Merci à Droupix pour l'aide : https://www.youtube.com/channel/UCdbVVegw_mV3Q21UG82-6LQ

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl

Instagram : https://instagram.com/docnozman/ 
Snapchat : Drnozman
https://www.instagram.com/nozmacro/
Twitter : https://twitter.com/DrNozman
Facebook : http://on.fb.me/1qEkh9H
Compte Tipeee : https://www.tipeee.com/dr-nozman

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-05-15 16:00:02+00:00,"['dr nozman', 'nozman', 'cerveau', 'science', 'observation']",28,6:55,8162,109085,1984439,0,hd,True,_4P9XjKt7qg,4.0,3 days 00:00:00
CE VENIN EST LE PLUS DANGEREUX DU MONDE !? Vrai ou Faux #71,"Pour le prochain épisode, dis moi un truc vrai ou faux sur ""les pierres précieuses"" dans les commentaires !
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Merci à Pierre pour la relecture : http://ssaft.com/Blog/dotclear/

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s
Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl 
 
Twitch : www.twitch.tv/docnozman
Facebook : http://on.fb.me/1qEkh9H
Twitter : https://twitter.com/DrNozman
Instagram : https://instagram.com/docnozman/
Snapchat : Drnozman
Le Tipeee : https://www.tipeee.com/dr-nozman

Aide à l'écriture / Montage : Pikup (sa chaîne)
https://www.youtube.com/channel/UCVCm...


A très bientôt pour la prochaine vidéo !

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-05-11 15:59:04+00:00,"['dr nozman', 'nozman', 'vrai ou faux', 'science', 'reptile']",28,10:5,38595,122809,2995498,0,hd,True,ENw46IAbVM0,0.0,0.0
JE VOUS MONTRE MON SANG AU MICROSCOPE !,"N'oubliez pas le pouce en l'air si vous avez apprécié, merci à tous :)
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Merci à Primum pour la relecture : https://www.youtube.com/channel/UC9BnGZLT4iPaJtDOXYwQuHQ

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl

Instagram : https://instagram.com/docnozman/ 
Snapchat : Drnozman
https://www.instagram.com/nozmacro/
Twitter : https://twitter.com/DrNozman
Facebook : http://on.fb.me/1qEkh9H
Compte Tipeee : https://www.tipeee.com/dr-nozman

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-05-08 15:59:02+00:00,"['dr nozman', 'nozman', 'docteur nozman', 'sang', 'microscope']",28,6:10,20836,161777,3464217,0,hd,True,CQPVMxQOh-E,3.0,2 days 00:00:00
PRENDRE DU POIDS SANS GROSSIR ? Vrai ou Faux #70,"Pour le prochain épisode, dis moi un truc vrai ou faux sur ""les reptiles"" dans les commentaires !
Tu peux cliquer ici pour t'abonner (love) ▶ http://bit.ly/1LaNlBD

Merci à Brusicor pour la relecture : https://twitter.com/brusicor02

Mon matos :
Caméra : http://amzn.to/2oBOE9n
Objectif : http://amzn.to/2pbhj2T
Micro : http://amzn.to/2oZYSBg
Le micro cravate qui sauve des vies : http://amzn.to/2oql44s
Eclairage : http://amzn.to/2pbu91k // http://amzn.to/2o86pdp
Trépied : http://amzn.to/2pbiVtl
 
Twitch : www.twitch.tv/docnozman
Facebook : http://on.fb.me/1qEkh9H
Twitter : https://twitter.com/DrNozman
Instagram : https://instagram.com/docnozman/
Snapchat : Drnozman
Le Tipeee : https://www.tipeee.com/dr-nozman

Aide à l'écriture / Montage : Pikup (sa chaîne)
https://www.youtube.com/channel/UCVCm...


A très bientôt pour la prochaine vidéo !

Merci à tous et à bientôt ! ;)",Dr Nozman,2018-05-04 16:19:06+00:00,"['dr nozman', 'nozman', 'docteur nozman', 'vrai ou faux', 'science']",28,7:3,18624,71621,1163736,0,hd,True,tyV8IWsNxg8,3.0,2 days 00:00:00
