Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
JE NE PEUX FAIRE CONFIANCE À PERSONNE... (Nerf),"On ne peut faire confiance à personne ! (Bataille nerf Episode 3)
EPISODE 1 : https://www.youtube.com/watch?v=miEr1jCa3Cs&t=441s
EPISODE 2 : https://www.youtube.com/watch?v=L0zy4OFVOdk
NEOXI : https://www.youtube.com/user/Ne0xi
MASTU : https://www.youtube.com/channel/UCAhaFPP6v3WCfK5Tjao0B7A
JOYCA :  https://www.youtube.com/channel/UCow2IGnug1l3Xazkrc5jM_Q
VODK : https://www.youtube.com/user/VodKprod
Cette vidéo est réalisée en partenariat avec NERF, merci à eux de nous accompagner sur tous les épisodes, le prochain aura lieu à Halloween pour le mode Zombie ! Nerf n’est pas un jouet, destiné aux 14 ans et plus :)
DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Cadrage : Yann.G, Diane.J
Montage : Yann.G",Amixem,2018-06-09 17:00:01+00:00,"['amixem', 'nerf', 'redbox', 'joyca', 'vodk', 'neoxi', 'mastu', 'humour', 'drole', 'fun', 'confiance', 'bataille']",20,15:9,4925,151020,2859504,0,hd,1.0,M68VGX5hbg8,0.0,0.0
J’AI RETROUVÉ LES JEUX DE MON ENFANCE ! #1,"J'ai retrouvé les jeux vidéo de mon enfance !
DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Lien de mes vidéos sur Adibou et Unreal Tournament :
- https://youtu.be/UHkd9iBeBoU
- https://youtu.be/XJZI1AdeBYE

Montage : Johann.M",Amixem,2018-06-06 17:00:00+00:00,"['amixem', 'humour', 'delire', 'jeux vidéo', 'enfance', 'jeux', 'drole', 'gaming', 'fun', 'délire']",23,16:53,31465,184062,3140750,0,hd,1.0,3jzAaF106NI,0.0,0.0
LA MEILLEURE AVENTURE EN VOITURE ! - RedboxTrip #3,"La meilleure aventure en voiture ! RedBoxTrip Épisode 3  avec JOYCA, MASTU & NEOXI. 
ÉPISODE 1 : https://youtu.be/L2uczIO7efY
ÉPISODE 2 : https://youtu.be/jELGG8JNjdU
NEOXI : https://www.youtube.com/user/Ne0xi
MASTU : https://www.youtube.com/channel/UCAhaFPP6v3WCfK5Tjao0B7A
JOYCA : https://www.youtube.com/channel/UCow2IGnug1l3Xazkrc5jM_Q

DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Montage : Chris.H",Amixem,2018-06-02 17:00:03+00:00,"['amixem', 'humour', 'delire', 'redbox trip', 'joyca', 'mastu', 'neoxi', 'redbox', 'roadtrip', 'toulon', 'gps', 'carte', 'drole', 'voiture', 'fun', 'episode 3']",23,32:30,19896,300504,4884977,0,hd,1.0,lBxp9Cv-Zcg,0.0,0.0
AVEZ-VOUS L'ESPRIT MAL PLACÉ ? (test d'innocence),"Un test d'innocence pour savoir si ton esprit est mal placé. 
DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Montage : Yann.G",Amixem,2018-05-31 17:00:02+00:00,"['avez-vous', 'mal placé', 'esprit', 'test', 'humour', 'amixem', 'drole', 'fun', 'photo']",23,10:33,16714,261145,4457097,0,hd,1.0,V7bpLLw-MY0,0.0,0.0
ON A COMPLÈTEMENT CRAQUÉ ! Redbox Trip #2,"Épisode 2 du redbox trip ! 1000 km sans carte ni GPS, on roule vers le Palais du Facteur Cheval !
DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Montage : Chris.H",Amixem,2018-05-26 17:00:03+00:00,"['amixem', 'humour', 'delire', 'redbox trip', 'episode 2', 'joyca', 'mastu', 'neoxi', 'redbox', 'roadtrip', 'toulon', 'gps', 'carte', 'drole', 'voiture', 'fun']",23,28:24,9785,237376,6343821,0,hd,1.0,jELGG8JNjdU,0.0,0.0
COME BACK LITTLE RED SH*T !!! (Dessin animé),"Dessin animé de type qualitatif réalisé à partir de cette vidéo sur VR CHAT : https://www.youtube.com/watch?v=QN9ZBsZI-kI&t=78s
ANIMATION PAR : https://www.youtube.com/user/MyFuckinMess

Sous-titres : Diane.J",Amixem,2018-05-21 09:00:03+00:00,"['vr chat', 'little red', 'come back', 'amixem', 'drole', 'rouge', 'knucles', 'humour', 'dessin animé']",23,4:56,10373,295932,4452419,0,hd,1.0,xiMZRrKmMwY,0.0,0.0
1000 KILOMÈTRES SANS CARTE NI GPS ! - RedBox Trip #1,"On a fait 1000km sans GPS ni carte de Angers à Toulon avec Mastu ; Neoxi & Joyca ! Bienvenue dans l'épisode 1 sur Redbox Trip !
RHINOSHIELD : https://rhinoshield.fr/
La vidéo d'Anthony : https://www.youtube.com/watch?v=meLz8yXvCEU&tv=

DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Montage : Chris.H",Amixem,2018-05-18 16:38:29+00:00,"['1000km', 'gps', 'carte', 'amixem', 'joyca', 'mastu', 'neoxi', 'redbox', 'trip', 'voiture']",23,35:18,17895,374803,10636872,0,hd,1.0,L2uczIO7efY,0.0,0.0
ON SE PERD SUR GOOGLE STREET !,"On se perd sur Google street à l’aide de l’outil geogussr avec Pierre et Benjamin. Leur chaine : BENJAMIN : https://www.youtube.com/channel/UCuKa7_pustUzOj3IBcgYNPg / PIERRE : https://www.youtube.com/user/pierrecroce MOI : https://m.youtube.com/channel/UCgvqvBoSHB1ctlyyhoHrGwQ
DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Montage : Chris.H",Amixem,2018-05-14 16:51:54+00:00,"['amixem', 'humour', 'delire', 'on se perd', 'Google street', 'geogussr', 'geoguessr', 'perdu', 'Pierre Croce', 'benjamin verrecchia', 'Amixem', 'drole', 'wtf', 'délire', 'redbox']",23,11:14,3277,148941,3183450,0,hd,1.0,Qg7tFKi8txI,0.0,0.0
JE REPONDS À VOS QUESTIONS VIDÉOS ! (FAQ pas très originale),"Je réponds à vos questions vidéo ! FAQ pas très originale
La vidéo des PIRES et MEILLEURS abonnés que j'ai rencontrés : https://www.youtube.com/watch?v=ZXdxPS_tyxw&t=334s

DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Montage : Yann.G",Amixem,2018-05-09 17:00:41+00:00,"['amixem', 'faq', 'questions', 'je réponds', 'foire aux', 'drole', 'humour', 'redbox']",23,26:33,11847,111553,1833070,0,hd,1.0,M51mDLujKPQ,3.0,2 days 00:00:00
LES PIRES OBJETS JAPONAIS (achetés à TOKYO) ! #2,"J’ai acheté les pires objets japonais à Tokyo épisode 2 ! 
DEVIENS UNE VRAIE BAGUETTE TRADITION 2.0, ABONNE TOI ! : 
→ FACEBOOK : http://bit.ly/FacebookAmixem
→ TWITTER :  http://bit.ly/AmixemTwitter
→ SNAPCHAT : amixemsnap
→ TWITCH : http://bit.ly/TwitchAmixem
→ GOOGLE+ : https://plus.google.com/+FPSCoopGameplays

Montage : Chris.H",Amixem,2018-05-03 17:03:02+00:00,"['amixem', 'humour', 'delire', 'objets', 'les pires', 'japonais', 'LES PIRES OBJETS JAPONAIS', 'drole', 'fun', 'tokyo', 'japon', 'wtf', 'episode 2']",23,11:57,5307,226406,5888170,0,hd,1.0,4bz23qyK4CY,0.0,0.0
