Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
Moods - Get To Know You Feat. Pip Millett,"Stream/Buy/Support: http://Moods.lnk.to/GetToKnowYou

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook: http://on.fb.me/12s8hhw
ll Soundcloud: http://bit.ly/Ud6RVg

☞ Follow Moods
Spotify: http://spoti.fi/2yswrxD
Soundcloud: https://soundcloud.com/moodsprod
Facebook: https://www.facebook.com/Moodsproducer
Twitter: https://twitter.com/NickMoods
Instagram: https://www.instagram.com/moods.music
Bandcamp: https://moodsprod.bandcamp.com



✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-06-08 17:46:26+00:00,"['tsyn', 'thesoundyouneed', 'the sound you need', 'chill', 'chillwave', 'deep house', 'house', 'flume', 'majestic', 'odesza', 'petit biscuit', 'hip hop', 'underground hip hop', 'moods get to know you', 'moods']",10,4:31,66,4962,287603,0,hd,True,uQ342BX1M2A,0.0,0.0
FUKC - I'm Sorry,"TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow FUKC
Instagram: http://instagram.com/FUKCband
Twitter: http://twitter.com/FUKCband
Spotify: http://spoti.fi/2FtnTtv
Apple Music: http://apple.co/2G8hzsi

✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-05-25 14:52:04+00:00,"['tsyn', 'thesoundyouneed', 'the sound you need', 'chill', ""fukc i'm sorry"", 'fukc im sorry', 'point point']",10,3:30,44,1966,168438,0,hd,True,VTMGFhOXqwE,0.0,0.0
Ted Jasper - Go On,"TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow Ted Jasper
https://soundcloud.com/tedjasper
https://facebook.com/TedJasperMusic
https://twitter.com/tedjasper


✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-05-20 19:40:14+00:00,"['tsyn', 'thesoundyouneed', 'the sound you need', 'chill', 'chillwave', 'deep house', 'house', 'flume', 'majestic', 'odesza', 'petit biscuit', 'hip hop', 'underground hip hop']",10,3:48,46,3282,209182,0,hd,True,6Y33ME_-02Q,0.0,0.0
Clem Beatz - Wabi Sabi,"Stream / Support: https://clembeatz.lnk.to/WabiSabi

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow Clem Beatz
Facebook : http://facebook.com/clembeatzmusic
Instagram : http://instagram.com/clem_beatz
Spotify : http://bit.ly/ClemBeatzSpotify



✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-05-11 16:50:47+00:00,"['tsyn', 'thesoundyouneed', 'the sound you need', 'Clem Beatz', 'Wabi Sabi', 'Clem Beatz - Wabi Sabi', 'fakear', 'Odesza']",10,2:38,62,3421,326074,0,hd,True,p_jqkI_5Nng,0.0,0.0
Galimatias - South,"TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow Galimatias
https://soundcloud.com/galimatias
https://www.facebook.com/galimatiasmusic
https://twitter.com/Galimatias

✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-05-05 13:00:02+00:00,"['Galimatias South', 'Alina Baraz', 'Galimatias', 'South', 'Fantasy', 'Alina baraz fantasy', 'TSYN', 'TheSoundYouNeed', 'The sound you need']",10,3:37,126,8682,622457,0,hd,True,OMe7o8hB980,0.0,0.0
Omar Morto - Under The Sun (feat. Albany Lore & Josh Hector),"Stream/Listen/Support: http://fanlink.to/wantedwantedwanted

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow Omar Morto
https://soundcloud.com/omar-morto
https://www.facebook.com/omarmortomusic/
https://www.instagram.com/omarmorto/
https://twitter.com/omarmorto?lang=en


✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-04-30 17:53:26+00:00,"['tsyn', 'thesoundyouneed', 'the sound you need', 'chill', 'omar morto under the sun', 'omar morto']",10,2:56,70,3301,212064,0,hd,True,B0kjYiH2O1Y,0.0,0.0
Buzzy Lee - No Her,"Listen to Facepaint EP: http://futr.cl/facepaint, out on Future Classic.

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow Buzzy Lee
Facebook: https://www.facebook.com/buzzyleemusic/
Instagram: http://instagram.com/buzzytunes
Twitter: https://twitter.com/sashaspielberg

www.futureclassic.com
Facebook: https://www.facebook.com/futureclassic
Instagram: http://instagram.com/futureclassic
Twitter: http://twitter.com/futureclassic

✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-04-27 18:18:33+00:00,"['tsyn', 'thesoundyouneed', 'the sound you need', 'buzzy lee no her', 'nicolas jaar', 'buzzy lee']",10,3:11,46,1337,114677,0,hd,True,WhEFPfci1iU,0.0,0.0
Pat Lok - Might Be On Fire ft Sam Fischer,"Buy/Stream/Support: https://hotstream.lnk.to/patlok-mbof

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow Pat Lok
https://soundcloud.com/patlok
https://www.facebook.com/patlokmusic
https://www.instagram.com/patlokmusic
https://www.twitter.com/patlokmusic

☞ Follow Sam Fischer
https://soundcloud.com/samfischermusic
https://www.facebook.com/samfischermusic/
https://www.instagram.com/samfischer/

✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-04-19 15:23:22+00:00,"['pat lok might be on fire', 'pat lok', 'thesoundyouneed', 'the sound you need', 'tsyn', 'fkj', 'majestic', 'flume']",10,3:9,46,2198,141566,0,hd,True,ZZmmJwJXeAU,0.0,0.0
Set Mo - Near Feat. Asta,"TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg

☞ Follow Set Mo
https://soundcloud.com/setmomusic
https://www.facebook.com/setmomusic
https://twitter.com/setmomusic


✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-04-17 14:57:53+00:00,"['set mo near feat asta', 'set mo near', 'thesoundyouneed', 'the sound you need', 'tsyn']",10,3:53,53,2177,141862,0,hd,True,rYTUN2Jrb4w,0.0,0.0
JiKay - Roses (Jengi Remix),"Download /Stream - http://smarturl.it/roses-remixes

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv
ll Facebook : http://on.fb.me/12s8hhw
ll Soundcloud : http://bit.ly/Ud6RVg


JiKay
http://soundcloud.com/jikay
http://instagram.com/thisisjikay
http://twitter.com/thisisjikay

Jengi
https://soundcloud.com/jengibeats
https://www.facebook.com/jengibeats
https://twitter.com/JengiBeats
https://www.instagram.com/jengibeats

✖ Animation by Rhythm Music
https://www.youtube.com/user/TheRhyt7mMusic",TheSoundYouNeed,2018-04-13 16:40:47+00:00,"['tsyn', 'thesoundyouneed', 'the sound you need', 'chill', 'chillwave', 'deep house', 'house', 'flume', 'majestic', 'odesza', 'petit biscuit', 'hip hop', 'underground hip hop']",10,3:59,34,1707,135985,0,hd,True,nSOkA1JNOcc,0.0,0.0
