Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
MA MEILLEURE LAN SUR FORTNITE !!! (ESL Montpellier 2018),"Petit récap de notre LAN Occitanie E-sport à Montpellier sur Fortnite ! Un grand merci à tous d'avoir été aussi nombreux ! Et un grand bravo à la régie qui a été incroyable.
Les games sont sur la chaîne secondaire ► https://goo.gl/tQyjPE
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-06-09 16:58:56+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'lan', 'occitanie e-sport', 'esl', 'event']",24,10:50,1643,57090,1081474,0,hd,True,_cNZSy2kdEw,0.0,0.0
"LA PIRE MAJ DE FORTNITE ?! - Nouveau tremplin, Nerf du pompe et du Lama...","Je donne mon avis sur la nouvelle MAJ Fortnite qui selon moi.. est la pire MAJ actuellement depuis le début du jeu ! 
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-06-08 16:15:58+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'maj']",20,15:47,4592,45079,1152313,0,hd,True,8hoSsngJl3w,0.0,0.0
LES INDYSPENSABLES TRYHARD LE TOP1 ► MASTERKILL #16,"En compagnie de ZeratoR & MoManus pour ce MasterKill. On tryhard les TOP 1 !!!
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-06-06 18:19:58+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'zerator', 'moman', 'twitch']",20,57:2,996,33649,1140964,0,hd,True,lERZ6lVaI-Q,0.0,0.0
UNE DOMINATION NETTE SANS BAVURE ► ROYAL RUMBLE #5,"Akytio,Lebouseuh,Leroidesrats, Nems,Skyyart,Zack Nani, Yoshi,Yannou, doigby qui remportera la cinquième édition du Royal RUmble ! 
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-06-04 14:45:45+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'royal rumble', 'twitch', 'rediffusion']",20,32:39,1876,45902,1416283,0,hd,False,5et7xRSz1mo,0.0,0.0
LES MANE EN TOURNOI FORTNITE !!! #1,"Nous serrons à l'ESL Montpellier avec les MANE ! Pour le tournoi FORTNITE. On s’entraîne en live ""Scrim » contre quelques unes des TOP Team FR ! 
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-06-01 17:17:34+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'scrim', 'training', 'tournoi', 'esl']",20,23:13,1218,38094,850162,0,hd,True,ZhOY68AFnyk,0.0,0.0
MON PLUS GROS PROJET SUR FORTNITE !!!,"J'annonce mon plus gros projet sur FORTNITE ! Le GOTAGA BARRIERE SHOW ! Achetez vos places rapidement !!! / Rendez-vous ce Week-end Occitanie E-sport à l'ESL Montpellier avec les MANE ! 

Billet ESL Montpellier ►  https://goo.gl/UeTEsb

Billet GOTAGA SHOW BARRIÈRE ► http://barriere-esport-tour.fr/gotaga/

🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-05-31 17:42:45+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'maj', 'patch', 'annonce', 'event']",20,13:15,1522,47451,1069412,0,hd,True,TzQH3q-iGN8,0.0,0.0
UNE EQUIPE INATTENDUE ! ► MASTERKILL #15,"En compagnie de Skyyart & LeBouseuh une équipe inattendu pour TOP 1 ou.. perdre un maximum d'argent ! 
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-05-30 17:29:52+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'skyyart', 'bouseuh', 'masterkill']",20,33:11,1272,47592,1785332,0,hd,True,0uRsWaITLUI,0.0,0.0
DES FIGHTS TENDUS POUR FAIRE 30 KILLS !?!,"Une petite game matinale sur Fortnite en solo vs squad qui se passe plutôt bien !
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-05-29 15:32:00+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'fortnite', 'fortnite battle royale', 'construction', 'twitch', 'solo vs squad']",20,,722,22176,465200,0,hd,True,i6qsmbpWMIg,0.0,0.0
LA BATAILLE DISNEY ENTRE LE ROI BISOU & MICKALOW ! ► MASTERKILL #14,"MasterKill avec LRB & Mickalow pour enfin le fameux duel DISNEY ! Qui sera le meilleur dans ce domaine ?!
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-05-27 10:53:49+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'masterkill', 'fortnite', 'fortnite battle royale', 'disney', 'doigby', 'twitch']",20,57:48,865,34413,1212675,0,hd,True,fo2g_PjexPo,0.0,0.0
LA FINALE MSI DE LEAGUE OF LEGENDS 2018,"J'étais à la MSI 2018 League Of Legends en tant que spectateur au Zenith de Paris ! 
Musique : Last Heroes - Dimensions [NCS Release]
🍴 Rejoins la TeamFitness et utilise le code GOTAGA pour -15% sur https://gotaga.tv/feed
🎥 Je stream et record mes gameplays avec l'HD60 Pro d'Elgato disponible sur http://e.lga.to/Gotaga
🎮 Je joue sur console avec une manette SCUF ! Tu peux bénéficier de -5% avec le code GOTAGA sur https://gotaga.tv/SCUF 

--------------------------------------------

► Site Web : http://www.gotaga.tv
► Chaine Secondaire : http://www.youtube.com/mYGotaga
► Stream : http://www.twitch.tv/Gotaga
► Twitter : http://www.twitter.com/Gotaga
► Facebook : http://www.facebook.com/Gotag4
► Instagram : http://www.instagram.com/iMGotaga
► Snapchat : agatoG

--------------------------------------------

💥 Télécharge l'extension (Chrome & Firefox), tu seras informé de la sortie de chaque vidéo sur la chaîne principale et secondaire ainsi que de mes lives :  https://gotaga.tv/extension/",GOTAGA,2018-05-25 15:45:37+00:00,"['FR', 'gotaga', 'gotag4', 'the french monster', 'vitality', 'mygotaga', 'league of legends', 'msi', '2018', 'montage']",24,4:43,725,17265,282259,0,hd,True,_dLL1JfPkGQ,0.0,0.0
