Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
CE JEU DE FOOTBALL EST EXCEPTIONNEL (on y a tous joué !),"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/",Wass Freestyle,2022-05-15 10:00:17+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,14:50,23,808,19297,0,hd,True,f7aK3mztcg4,0.0,0.0
CE COACH RASSEMBLE SON QUARTIER DANS UNE PISCINE !,"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/",Wass Freestyle,2022-05-08 12:33:01+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,6:3,16,393,11615,0,hd,True,6KufwJ5okn8,0.0,0.0
COMMENT VA SE TERMINER LA LIGUE 1 ?!,"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/",Wass Freestyle,2022-04-30 10:43:48+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,16:22,125,2604,86358,0,hd,True,13qIMyvu2ig,0.0,0.0
UNE JOURNÉE AVEC LE CHAMPION DU MONDE DE LONGBOARD DANCING !,"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/",Wass Freestyle,2022-04-24 10:00:02+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,6:35,222,812,69761,0,hd,True,1iSD3iAX0jk,0.0,0.0
PSG VS OM : QUI VA GAGNER CE CHALLENGE FOOTBALL?,"https://footballbox.fr/products/football-box

Code promo 15% réduction : « MFB15 »

https://instagram.com/mafootballbox?igshid=YmMyMTA2M2Y=


Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/",Wass Freestyle,2022-04-16 10:08:01+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,14:13,200,3455,145904,0,hd,True,N1u8r8jWFbo,0.0,0.0
PSG-CLERMONT : DANS LES COULISSES DU MATCH !,"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/

Mon Facebook : https://www.facebook.com/DTERmedia",Wass Freestyle,2022-04-10 12:05:23+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,5:36,14,935,29445,0,hd,True,dx_nD5cs03k,0.0,0.0
CETTE FILLE DE 10 ANS EST TROP DRÔLE!,"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/

https://instagram.com/jademi94?utm_medium=copy_link",Wass Freestyle,2022-04-06 11:49:32+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,5:38,24,636,22383,0,hd,True,oWmFTl7kDg0,0.0,0.0
CE FOOTBALLEUR NON-VOYANT EST INCROYABLE !,"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/",Wass Freestyle,2022-03-30 13:12:08+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,5:48,67,2886,103275,0,hd,True,ayrZ7lq6w3o,0.0,0.0
PSG VS RÉAL : QUI GAGNERA ?! (Les gardiens sont trop forts),"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/
Mon Facebook : https://www.facebook.com/DTERmedia

Insta Jordan : https://www.instagram.com/jordaninho_10/
Insta Garance : https://www.instagram.com/garance.dekyndt/?utm_medium=copy_link
Insta Léo : https://www.instagram.com/leobthegoalkeeper/?utm_medium=copy_link",Wass Freestyle,2022-03-09 11:00:43+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,11:9,614,13763,816311,0,hd,True,ENWre4oBIMk,7.0,6 days 00:00:00
CES JEUNES SONT LE FUTUR DU FOOTBALL !,"Achète ton ballon freestyle SPEENBALL: http://bit.ly/SPEEN_ball

Mon Instagram : https://www.instagram.com/wassfreestyle/
Mon Facebook : https://www.facebook.com/DTERmedia

Insta Garance : https://instagram.com/garance.dekyndt?utm_medium=copy_link

Insta Léo : https://instagram.com/leobthegoalkeeper?utm_medium=copy_link",Wass Freestyle,2022-03-02 11:47:49+00:00,"['wass', 'freestyle', 'football', 'speen', 'fun']",17,10:59,133,7151,305683,0,hd,True,MzsQ6doCnBo,0.0,0.0
