Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
Marwa Loud - Je Voulais ft. Laguardia (Clip Officiel),"Nouveau clip de Marwa Loud #JeVoulais feat Laguardia
Album ""My Life"" disponible ➡️ https://marwaloud.lnk.to/MyLife

YouTube Livestream: https://marwaloud.lnk.to/YTLivestream 

Extrait du premier album « Loud » disponible : 
➡️http://smarturl.it/Marwa_Loud

Composé par H8mkrz

Suivez Marwa Loud sur ses réseaux sociaux : 
Facebook: https://www.facebook.com/Marwaloud/ 
Instagram: https://www.instagram.com/marwa_loud/
Snapchat : MarwaLoud 

Suivez Laguardia sur : 
Snapchat : daoudadsquared
Instagram : laguardia_officiel

2018 Purple Money distribué par Because Music

↓ LYRICS ↓

C’est le P.M.P
C’est Laguardia et Marwa, Marwa

Au début t’étais content, car
J’t’ai donné donné d’mon temps
Tu voulais pas d’une vie à deux
Tu préfères êtres avec eux
Donc maintenant faut choisir ton camp

Tu m’demandes de choisir mon camp
J’veux pas qu’tu crois qu’t’aies perdu ton temps
On finira notre vie à deux
Pour l’instant j’suis avec eux
Mais j’veux pas qu’ça s’termine maintenant

Car, j’voulais qu’tu sois la première
J’voulais qu’tu sois la dernière
Tout ça n’est pas un jeu
S’attacher c’est dangereux
S’il-te-plaît n’fais pas de manières
J’voulais qu’tu sois le premier, ouais
J’voulais qu’tu sois le dernier
Mais tout ça n’est pas un jeu
S’attacher c’est dangereux
Où est-c’que tout ça va nous mener ?

Où tout ça va nous mener ?
Allez viens je t’emmène
Tout les deux on s’promène
Y’a trop d’amour j’veux plus de haine
Allez viens on y va
Oui j’te promets qu’on s’aimera
Sous l’soleil de Panama
Ou le froid du Canada
T’façon j’irai où tu iras

Car, j’voulais qu’tu sois la première
J’voulais qu’tu sois la dernière
Tout ça n’est pas un jeu
S’attacher c’est dangereux
S’il-te-plaît n’fais pas de manières
J’voulais qu’tu sois le premier, ouais
J’voulais qu’tu sois le dernier
Mais tout ça n’est pas un jeu
S’attacher c’est dangereux
Où est-c’que tout ça va nous mener ?

Où est-c’que tout ça va nous mener ?
Après tout tu m’as quand même abandonnée
Où est-c’que tout ça va nous mener ?
Encore une fois j’t’ai pardonné, ouais j’t’ai pardonné
Où est-c’que tout ça va nous mener ?
Tu m’as quand même abandonnée
Où est-c’que tout ça va nous mener ?
Encore une fois ouais j’t’ai pardonné
(Fais-la à d’autres, ouais fais-la à d’autres
Fais-là à d’autres, m’la fais pas à moi
Fais-là à d’autres, m’la fais pas à moi)",Marwa Loud,2018-05-11 16:00:09+00:00,"['marwa', 'marwa loud', 'lartiste', 'je voulais', 'clip', 'clip officiel', 'nouveau clip', 'Loud', 'billet', 'fallait pas', 'marwaloud', 'laguardia', 'marwa laguardia', 'marwa je voualis', 'marwa je voulais']",22,3:8,6442,201944,28365047,0,hd,True,sz9gLPALoNc,0.0,0.0
Marwa Loud - Retour sur le concert gratuit à La Cigale,"Marwa Loud offre un concert gratuit aux fans à Paris à La Cigale pour fêter la sortie du premier album ""Loud"" : http://smarturl.it/Marwa_Loud 

Suivez Marwa Loud sur ses réseaux sociaux : 
Facebook: https://www.facebook.com/Marwaloud/ 
Instagram: https://www.instagram.com/marwa_loud/... 
Snapchat : MarwaLoud 

2018 Purple Money distribué par Because Music",Marwa Loud,2018-03-26 18:00:25+00:00,"['marwa', 'marwaloud', 'marwa loud', 'marwa convert', 'marwa concert cigale', 'marwa sho', 'marwa live', 'marwa life', 'marwa cigale', 'marwa loud cigale', 'marwa loud live', 'marwa sortie album']",22,1:5,559,11705,691578,0,hd,True,74YuJT00uM4,2.0,1 days 00:00:00
Marwa Loud - Billet (Clip Officiel),"Nouveau clip de Marwa Loud #Billet 
Album ""My Life"" disponible ➡️ https://marwaloud.lnk.to/MyLife 

YouTube Livestream: https://marwaloud.lnk.to/YTLivestream 

Extrait du premier album maintenant disponible http://smarturl.it/Marwa_Loud

Réalisé par Charly Clodion

Suivez Marwa Loud sur ses réseaux sociaux : 
Facebook: https://www.facebook.com/Marwaloud/ 
Instagram: https://www.instagram.com/marwa_loud/... 
Snapchat : MarwaLoud 

2018 Purple Money distribué par Because Music

↓ LYRICS ↓

Double-X on the track
Eh-eh, eh-eh

Eh ouais le temps passe, eh ouais le temps passe
Eh ouais le temps passe, eh ouais le temps passe

Et ouais le temps passe, donc mes passe-temps
Changent en même temps que tous mes cachetons
Car pour certains j’suis folle, pour d’autres j’suis conne
Mais pour eux c’est pas d’bol car au final j’en rigole
Ouais, et ouais le temps passe, donc mes passe-temps
Changent en même temps que tous mes cachetons
Car pour certains j’suis folle, pour d’autres j’suis conne
Mais pour eux c’est pas d’bol car au final j’en rigole, ouais

Venez, venez on va parier
Qui est-c’qu’en six mois s’est fait vali-valider ?
Bah ouais c’est moi, on n’a pas les mêmes idées
On n’a pas les mêmes flows on n’aura pas les mêmes billets, eh
Billet, eh, billet, mais moi je n’veux pas briller, eh, briller
Faudrait plutôt qu’j’me mette à prier, à prier
Ouais, prier, eh, prier

Eh ouais le temps passe, eh ouais le temps passe
Eh ouais le temps passe, eh ouais le temps passe

Eh ouais le temps passe, donc les patrons
Changeront en fonction de mes représentations
Car pour eux j’suis forte, la concu’ est morte
J’suis toute petite mais j’vais casser toutes les portes
Ouais j'vais casser toutes les portes, tirer sur tous les corps
Niquer tous les décors, vos albums m’insupportent
Et j’ai même pas fait exprès, (fait exprès) à la base c’était juste un essai, ouais

Venez, venez on va parier
Qui est-c’qu’en six mois s’est fait vali-valider ?
Bah ouais c’est moi, on n’a pas les mêmes idées
On n’a pas les mêmes flows on n’aura pas les mêmes billets, eh
Billet, eh, billet, mais moi je n’veux pas briller, eh, briller
Faudrait plutôt qu’j’me mette à prier, à prier
Ouais, prier, eh, prier

Venez, venez on va rigoler, ouais, rigoler
Venez, venez on va rigoler
Venez, venez on va parier
Qui est-c’qu’en six mois s’est fait vali-valider ?
Bah ouais c’est moi, moi, moi
Et bah ouais c’est moi, moi, moi, eh

Venez, venez on va parier
Qui est-c’qu’en six mois s’est fait vali-valider ?
Bah ouais c’est moi, on n’a pas les mêmes idées
On n’a pas les mêmes flows on n’aura pas les mêmes billets, eh
Billet, eh, billet, mais moi je n’veux pas briller, eh, briller
Faudrait plutôt qu’j’me mette à prier, à prier
Ouais, prier, eh, prier

Eh ouais le temps passe
Eh ouais le temps passe, eh
Je n'veux pas briller, nan",Marwa Loud,2018-03-09 16:59:30+00:00,"['marwa loud', 'marwa', 'loud', 'billet', 'billets', 'marwaloud', 'marwa loud billet', 'clip marwa', 'nouveau son marwa', 'album marwa', 'billets marwa', 'billets marwa loud', 'marwa billet']",22,3:8,27818,735018,122186798,0,hd,True,URq5xapvnrY,5.0,4 days 00:00:00
Marwa Loud - Fallait pas (Clip officiel),"Nouveau clip de Marwa Loud #FallaitPas 
Single disponible ici : http://smarturl.it/MarwaLoud-Fallaitpas
Album ""My Life"" disponible ➡️ https://marwaloud.lnk.to/MyLife

YouTube Livestream: https://marwaloud.lnk.to/YTLivestream 

Suivez Marwa Loud sur ses réseaux sociaux :
Facebook: https://www.facebook.com/Marwaloud/
Instagram: https://www.instagram.com/marwa_loud/?hl=fr
Snapchat : MarwaLoud

2017 Purple Money distribué par Because Music

↓ LYRICS ↓

Poto j’déconne, ouais j’déconne
Oh la la qu’est-c’qu’elle est bonne
Mais qu’est-c’quelle est conne
Qu’est-c’qu’elle est conne
Tu repartiras pas sans son phone
Sans son phone
Tout l’monde la connaît dans l’barrio
Elle tourne plus qu’un tube à la radio
Elle veut pas habiter dans ton studio
Toi tu pèses pas lourd t’es pas proprio
Elle t’a piqué, elle t’a piqué
T’as du mal à nous l’expliquer

Elle t’a piqué, elle t’a piqué
Tu penses qu’à elle toute la soirée
Tu penses qu’à elle donc tu t’amuses plus
Même tes potos te reconnaissent plus
Y'a que le barman, qui t’encaisse plus
À croire qu’sur Terre il n’en reste qu’une

Gros t’allais, t’allais, t’allais tout donner
Mais fallait, fallait pas la laisser te piquer
Gros t’allais, t’allais, t’allais tout donner
Mais fallait, pas la laisser te piquer
Fallait pas, fallait pas, fallait pas tout donner
Fallait pas, fallait pas, la laisser t’piquer
Fallait pas, fallait pas, fallait pas tout donner
Que ça ler-par, que ça ler-par, tout le monde la connaît

Gros tu déconnes, tu déconnes
Elle t’appelle “bébé” tu décolles
Quand elle t’répond plus tu t’étonnes
Oh la la qu’est-c’qu’elle est conne
Mais qu’est-c’qu'elle est bonne
Fallait pas tout donner, sois pas étonné
Elle t’a tout volé : ton égo, ton cœur, ton porte-monnaie

Elle t’a piqué, elle t’a piqué
Tu penses qu’à elle toute la soirée
Tu penses qu’à elle donc tu t’amuses plus
Même tes potos te reconnaissent plus
Y'a que le barman, qui t’encaisse plus
À croire qu’sur Terre il n’en reste qu’une

Gros t’allais, t’allais, t’allais tout donner
Mais fallait, fallait pas la laisser te piquer
Gros t’allais, t’allais, t’allais tout donner
Mais fallait, pas la laisser te piquer
Fallait pas, fallait pas, fallait pas tout donner
Fallait pas, fallait pas, la laisser t’piquer
Fallait pas, fallait pas, fallait pas tout donner
Que ça ler-par, que ça ler-par, tout le monde la connaît

Tout l’monde te connaît
Ils t’ont tous abandonné
Ils veulent plus d’toi ici
Laisse-les passer leur soirée
Pourtant t’es belle c’est ballot
T’as mis tes plus beaux talons
Mais ça suffit plus
Maintenant c’qu’ils t’souhaitent
C’est que du malheur

Gros t’allais, t’allais, t’allais tout donner
Mais fallait, pas la laisser te piquer
Fallait pas, fallait pas, fallait pas tout donner
Fallait pas, fallait pas, la laisser t’piquer
Fallait pas, fallait pas, fallait pas tout donner
Que ça ler-par, que ça ler-par, tout le monde la connaît",Marwa Loud,2017-12-22 17:24:46+00:00,"['marwa', 'loud', 'fallait pas', 'fallait', 'maroua', 'laoud', 'urban', 'maroc', 'algérie', 'rap', 'marwaloud', 'marwa loud', 'marwa fallait', 'marwa fallait pas', 'marwa loud fallait']",22,3:28,33757,718788,158921168,0,hd,True,5UV1aEkBgAk,0.0,0.0
