Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
DADJU - AMBASSADEUR (ANIMATEUR : BRIGADE) (CLIP OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight
————————————————

Fam production (Marjane SLAMI, Flora KOFFI-LOPEZ)
Réalisateur : YC

1er assistant réalisateur : Vincent MAGNAUD 
2eme assistante réalisateur : Calvin ANTHEAUME
Régisseur général : Edwing Nundoo
D.O.P. : Albert OZIOULS
1er assistant caméra : Bastien DOAT
Directrice de casting Danielle EKOULE 
Assistante de casting : Tania NSELE
Dj : Randy Deejay
Chorégraphe : Batchily
Danseurs : Rocket Vipajiz, Hamilton Vipajiz, Souleymane Fanny, Trésor Tic Tac, Aubrey Batchily, Myriam Sacko, Stacy Daagirl, Gracia_Gvng
Chef électricien : Bastien DOAT
Chef maquilleuse : Joséphine RICHARD 
Assistante maquillage : Saleha BOUCHAMA
Styliste : BASS the plug
Photographe de plateau : Graig LABRANCHE
Traiteur : Janesse traiteur et Supermarché Halafs 

Merci à @espace.eden  (salle et décoration ), @sonsouevents  (décoration), @dj_kilam_event  (technique lumière et mur), Zed by (costume) et la maison du lunetier. Merci à tous les participants.",DADJU,2022-05-15 11:09:19+00:00,[],10,4:32,3357,70287,1017838,0,hd,True,QKFzFjRJUEg,9.0,8 days 00:00:00
"DADJU - CULLINAN l’album de l'année, maintenant disponible !","""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-13 08:46:59+00:00,[],10,16,38,1285,34763,0,hd,True,iel2gC1VXfQ,0.0,0.0
DADJU - AMBASSADEUR (ANIMATEUR : BRIGADE) (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:35+00:00,[],10,4:1,1223,19806,479940,0,hd,True,zaulRorQj2Y,5.0,4 days 00:00:00
DADJU - PICSOU (FEAT. GAZO) (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:31+00:00,[],10,3:6,138,3866,88137,0,hd,True,l781wk_ziY8,0.0,0.0
DADJU - IMA (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:30+00:00,[],10,3:46,1001,25488,686436,0,hd,True,iVTPQJPc3ec,6.0,6 days 00:00:00
DADJU - ANONYME (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:27+00:00,[],10,3:10,206,6699,180729,0,hd,True,sxaYOry2MpU,0.0,0.0
DADJU - MAUVAISE DÉDUCTION (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:27+00:00,[],10,3:15,117,4009,98427,0,hd,True,WLuE8DrJPLw,0.0,0.0
DADJU - GARDE DU COEUR (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:23+00:00,[],10,2:50,175,5390,142480,0,hd,True,cCSHVYTN4H8,0.0,0.0
DADJU - CHANCE MOKO (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:22+00:00,[],10,3:11,202,5812,145967,0,hd,True,e0XvtfCNS88,0.0,0.0
DADJU - PETITES ATTENTIONS (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:21+00:00,[],10,3:13,170,5939,161252,0,hd,True,dmBMTfPKVa0,0.0,0.0
DADJU - JE N'OUBLIE PAS,"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:17+00:00,[],10,3:1,185,6626,161246,0,hd,True,ZQWDp2lc-HE,0.0,0.0
DADJU - SAFARI (FEAT. HAMZA) (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:14+00:00,[],10,3:50,135,5750,167440,0,hd,True,EJu2ojdm0B0,0.0,0.0
DADJU - WILOW (NARRATEUR : FRANCIS NGANNOU) (AUDIO OFFICIEL),"""CULLINAN"" l’album de l’année maintenant disponible 
➡ https://dadju.lnk.to/Cullinan 💎   
————————————————
""IMA"" LE 1er FILM DE DADJU EN CE MOMENT AU CINEMA 
————————————————
En concert au Parc des Princes le 18 Juin 2022 !
➡ https://smarturl.it/DadjuPOATour​
————————————————
Suivez toute l'actualité de DADJU :
https://www.instagram.com/DADJU​
https://www.facebook.com/DADJU​
https://twitter.com/DADJU​
Snapchat : Dadjnight",DADJU,2022-05-12 22:00:13+00:00,[],10,3:16,179,5156,146169,0,hd,True,I_R2ycU5EFg,0.0,0.0
