Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
Ninho - Un Poco (Clip officiel),"NINHO ""MILS 2.0"", la nouvelle mixtape disponible partout ici: https://ninho.lnk.to/MILS_20AY , inclus le titre ""Coffrer"" et ""Un Poco"".
-
https://www.facebook.com/NihnoSdt
https://www.instagram.com/NinhoSdt
https://twitter.com/ninhosdt
https://www.snapchat.com/add/Ninhosdt",Ninho,2018-04-25 16:00:14+00:00,"['Ninho', 'Binks to binks 5 Musique', 'Rap', 'Clip officiel', 'ninho', 'roro', ""dis moi que tu m'aimes ninho"", ""ninho dis moi que tu m'aime"", 'ninho roro', ""dit moi que tu m'aime ninho"", 'ninho malcolm', 'bitch dab', 'ninho binks to binks 2', 'le roro', 'roro ninho', 'ninho tout ira mieux', 'nihno', 'ninho pour nous', 'binks to binks', 'dab', 'binks to binks 2', 'malcolm', 'ça sent le roro', 'tout ira mieux ninho', 'tema le dab', 'malcolm ninho', 'ninho freestyle']",10,3:53,7846,366257,67656946,0,hd,True,eqYxVsEaypk,4.0,3 days 00:00:00
Ninho - Boite Auto [Clip Officiel B.O Taxi 5],"« Boite auto » disponible partout : https://taxi5.lnk.to/Ninho
Extrait de la B.O de Taxi 5, sortie le 6 avril

Réseaux sociaux :
Facebook : https://www.facebook.com/NihnoSdt
Instagram : https://www.instagram.com/NinhoSdt
Twitter : https://twitter.com/NihnoSdt
Snapchat : https://www.snapchat.com/add/Ninhosdt",Ninho,2018-04-04 16:00:09+00:00,"['Ninho', 'Binks to binks 5 Musique', 'Rap', 'Clip officiel', 'ninho', 'roro', ""dis moi que tu m'aimes ninho"", ""ninho dis moi que tu m'aime"", 'ninho roro', ""dit moi que tu m'aime ninho"", 'ninho malcolm', 'bitch dab', 'ninho binks to binks 2', 'le roro', 'roro ninho', 'ninho tout ira mieux', 'nihno', 'ninho pour nous', 'binks to binks', 'dab', 'binks to binks 2', 'malcolm', 'ça sent le roro', 'tout ira mieux ninho', 'tema le dab', 'malcolm ninho', 'ninho freestyle']",10,3:23,2490,149482,30264704,0,hd,True,Vu_UxzkIp6o,3.0,2 days 00:00:00
Ninho - Coffrer (Clip officiel),"NINHO ""MILS 2.0"", la nouvelle mixtape disponible partout ici: https://ninho.lnk.to/MILS_20AY , inclus le titre ""Coffrer"".
-
https://www.facebook.com/NihnoSdt
https://www.instagram.com/NinhoSdt
https://twitter.com/NihnoSdt
https://www.snapchat.com/add/Ninhosdt",Ninho,2018-03-28 20:00:00+00:00,"['Ninho', 'Binks to binks 5 Musique', 'Rap', 'Clip officiel', 'ninho', 'roro', ""dis moi que tu m'aimes ninho"", ""ninho dis moi que tu m'aime"", 'ninho roro', ""dit moi que tu m'aime ninho"", 'ninho malcolm', 'bitch dab', 'ninho binks to binks 2', 'le roro', 'roro ninho', 'ninho tout ira mieux', 'nihno', 'ninho pour nous', 'binks to binks', 'dab', 'binks to binks 2', 'malcolm', 'ça sent le roro', 'tout ira mieux ninho', 'tema le dab', 'malcolm ninho', 'ninho freestyle']",10,4:20,3629,173194,23781085,0,hd,True,-fQGGLk39eE,5.0,4 days 00:00:00
Ninho x MHD - Bénéfice (Teaser),"NINHO ""MILS 2.0"", la nouvelle mixtape disponible partout ici: https://ninho.lnk.to/MILS_20AY , inclus le titre ""Coffrer"".
-
https://www.facebook.com/NihnoSdt
https://www.instagram.com/NinhoSdt
https://twitter.com/NihnoSdt
https://www.snapchat.com/add/Ninhosdt",Ninho,2018-03-09 17:04:34+00:00,"['Ninho', 'Rap', 'Clip officiel', 'ninho', 'le roro', 'nihno', 'mhd', 'benefice', 'bénéfice', 'ninho mhd', 'ninho feat mhd', 'ninho ft mhd', 'ninho mhd benefice']",10,30,185,8770,259633,0,hd,True,j_A5cnL0Flg,3.0,2 days 00:00:00
Ninho - Rose (Clip officiel),"NINHO ""MILS 2.0"", la nouvelle mixtape disponible partout ici: https://ninho.lnk.to/MILS_20AY , inclus le titre ""Coffrer"".
-
https://www.facebook.com/NihnoSdt
https://www.instagram.com/NinhoSdt
https://twitter.com/NihnoSdt
https://www.snapchat.com/add/Ninhosdt",Ninho,2018-01-17 15:00:28+00:00,"['Ninho', 'Binks to binks 5 Musique', 'Rap', 'Clip officiel', 'ninho', 'roro', ""dis moi que tu m'aimes ninho"", ""ninho dis moi que tu m'aime"", 'ninho roro', ""dit moi que tu m'aime ninho"", 'ninho malcolm', 'bitch dab', 'ninho binks to binks 2', 'le roro', 'roro ninho', 'ninho tout ira mieux', 'nihno', 'ninho pour nous', 'binks to binks', 'dab', 'binks to binks 2', 'malcolm', 'ça sent le roro', 'tout ira mieux ninho', 'tema le dab', 'malcolm ninho', 'ninho freestyle']",10,3:59,7138,330412,58991116,0,hd,True,Z2fX9CpMDVQ,3.0,2 days 00:00:00
"(Teaser) Ninho ""Rose"", le nouveau clip mercredi à 16h","NINHO ""MILS 2.0"", la nouvelle mixtape disponible partout ici: https://ninho.lnk.to/MILS_20AY , inclus le titre ""Coffrer"".
-
https://www.facebook.com/NihnoSdt
https://www.instagram.com/NinhoSdt
https://twitter.com/NihnoSdt
https://www.snapchat.com/add/Ninhosdt",Ninho,2018-01-14 20:42:57+00:00,"['Ninho', 'Binks to binks 5 Musique', 'Rap', 'Clip officiel', 'ninho', 'roro', ""dis moi que tu m'aimes ninho"", ""ninho dis moi que tu m'aime"", 'ninho roro', ""dit moi que tu m'aime ninho"", 'ninho malcolm', 'bitch dab', 'ninho binks to binks 2', 'le roro', 'roro ninho', 'ninho tout ira mieux', 'nihno', 'ninho pour nous', 'binks to binks', 'dab', 'binks to binks 2', 'malcolm', 'ça sent le roro', 'tout ira mieux ninho', 'tema le dab', 'malcolm ninho', 'ninho freestyle']",10,17,392,7442,201632,0,sd,False,A5EbDFPAU88,0.0,0.0
Ninho - Dita feat. Hös Copperfield (Clip officiel),"NINHO ""MILS 2.0"", la nouvelle mixtape disponible partout ici: https://ninho.lnk.to/MILS_20AY , inclus le titre ""Coffrer"".
-
https://www.facebook.com/NihnoSdt
https://www.instagram.com/NinhoSdt
https://twitter.com/NihnoSdt
https://www.snapchat.com/add/Ninhosdt",Ninho,2017-12-27 15:11:09+00:00,"['Ninho', 'Binks to binks 5 Musique', 'Rap', 'Clip officiel', 'ninho', 'roro', ""dis moi que tu m'aimes ninho"", ""ninho dis moi que tu m'aime"", 'ninho roro', ""dit moi que tu m'aime ninho"", 'ninho malcolm', 'bitch dab', 'ninho binks to binks 2', 'le roro', 'roro ninho', 'ninho tout ira mieux', 'nihno', 'ninho pour nous', 'binks to binks', 'dab', 'binks to binks 2', 'malcolm', 'ça sent le roro', 'tout ira mieux ninho', 'tema le dab', 'malcolm ninho', 'ninho freestyle']",10,4:19,1478,70902,6140512,0,hd,True,CtJeenliMtM,4.0,3 days 00:00:00
