Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed,id,trending times,trending for
MON VENTRE VS LA NOUVELLE ARME DE FORTNITE,"Mon insta : https://www.instagram.com/tk_officiel78/?hl=fr

video degustation https://www.youtube.com/watch?v=OBtked_voYc",TheKAIRI78,2018-06-11 21:29:58+00:00,"['thekairi78', 'fortnite']",24,2:35:52,72,18725,330679,0,hd,True,PYa-V6ecAzI,0.0,0.0
J'ARRETE MON REGIME A CAUSE DE CETTE PIZZA,"Salam les rhey, bienvenue sur ma chaîne youtube, su ma chaîne vous pourriez trouver des vlog et des lives sur FORTNITE, je compte sur vous pour vous abonner et mettre des pouces bleu sur mes vidéos pour plus de vidéo.

Pour me suivre sur les réseaux sociaux :
Twitter : https://twitter.com/TheKairi78  
Facebook : https://www.facebook.com/TheKairi78Officiel/ … …
Instagram : https://www.instagram.com/tk_officiel78/  

Partenariat :
-5% avec mon code promo TK78 sur les points PSN, Xbox Live, Jeux pc 
Lien PSN : http://www.psparadise.fr/  
Lien Xbox Live : http://www.xbxparadise.fr/  
Lien Jeux PC : http://www.pc-paradise.fr/  

Télécharger mon appli pour pouvoir être au courant de tout!
Lien de téléchargement Android : http://bit.ly/2tepY6b  
Sur IOS : http://apple.co/2uyovvq",TheKAIRI78,2018-06-11 20:09:18+00:00,"['THEKAIRI78', 'PIZZA', 'DEGUSTATION']",24,6:18,785,9887,126237,0,hd,True,OBtked_voYc,0.0,0.0
TheKAIRI78 INSULTE SA COPINE A CAUSE DE FORTNITE,"Salam les rhey, bienvenue sur ma chaîne youtube, su ma chaîne vous pourriez trouver des vlog et des lives sur FORTNITE, je compte sur vous pour vous abonner et mettre des pouces bleu sur mes vidéos pour plus de vidéo.

Pour me suivre sur les réseaux sociaux :
Twitter : https://twitter.com/TheKairi78  
Facebook : https://www.facebook.com/TheKairi78Officiel/ … …
Instagram : https://www.instagram.com/tk_officiel78/  

Partenariat :
-5% avec mon code promo TK78 sur les points PSN, Xbox Live, Jeux pc 
Lien PSN : http://www.psparadise.fr/  
Lien Xbox Live : http://www.xbxparadise.fr/  
Lien Jeux PC : http://www.pc-paradise.fr/  

Télécharger mon appli pour pouvoir être au courant de tout!
Lien de téléchargement Android : http://bit.ly/2tepY6b  
Sur IOS : http://apple.co/2uyovvq",TheKAIRI78,2018-06-11 15:18:04+00:00,"['thekairi78', 'fortnite']",24,3:33,607,15537,175626,0,hd,True,cPZQHVylv6M,0.0,0.0
LA VIE D'UN GROS LARD SUR FORTNITE,"https://www.youtube.com/watch?v=gg1edea5X_Y

Le lien pour l'application android : https://play.google.com/store/apps/details?id=com.wizdeo.thekairi78

Application pour Itunes : https://itunes.apple.com/fr/app/the-kairi78-officiel/id1240230657?l=fr&ls=1&mt=8



Pour les Figurine bombarder de like:
https://t.co/8dh39v4rme
https://t.co/EEk3lrvakP
https://t.co/mptD1NgEgE
https://t.co/hZo0qvuCBv

Salem les rhey , bienvenue sur ma chaîne Youtube , dans ces vidéo la tu pourra trouver des FAQ , des uboxing de carte Pokemon , des vidéo de rachid enfin des vidéo IRL , hésite surtout pas a t'abonner a ma chaîne Youtube si ce genre de vidéo te plait , en vous souhaitant a tout un bon visionnage merci . 

-5%avec mon code promo TK78 sur les point PSN , Xbox Live , Jeux Pc 
Lien PSN : https://t.co/O9iP9aMc6s
Lien Xbox Live : https://t.co/0CrSloPN13
Lien Jeux PC : https://t.co/RorzlgUqJ1

Ma page Twitter : https://t.co/2Le4PlqLxv
Ma page Officiel Facebook : https://t.co/H6Z0fjcWcKYVZA",TheKAIRI78,2018-06-11 01:01:51+00:00,"['thekairi78', 'fortnite']",24,3:32:16,51,11656,182265,0,hd,True,KYU0njePO94,0.0,0.0
OMG LES NOUVEAU SKIN FORTNITE ENFIN DISPONIBLE,"https://www.youtube.com/watch?v=gg1edea5X_Y

Le lien pour l'application android : https://play.google.com/store/apps/details?id=com.wizdeo.thekairi78

Application pour Itunes : https://itunes.apple.com/fr/app/the-kairi78-officiel/id1240230657?l=fr&ls=1&mt=8



Pour les Figurine bombarder de like:
https://t.co/8dh39v4rme
https://t.co/EEk3lrvakP
https://t.co/mptD1NgEgE
https://t.co/hZo0qvuCBv

Salem les rhey , bienvenue sur ma chaîne Youtube , dans ces vidéo la tu pourra trouver des FAQ , des uboxing de carte Pokemon , des vidéo de rachid enfin des vidéo IRL , hésite surtout pas a t'abonner a ma chaîne Youtube si ce genre de vidéo te plait , en vous souhaitant a tout un bon visionnage merci . 

-5%avec mon code promo TK78 sur les point PSN , Xbox Live , Jeux Pc 
Lien PSN : https://t.co/O9iP9aMc6s
Lien Xbox Live : https://t.co/0CrSloPN13
Lien Jeux PC : https://t.co/RorzlgUqJ1

Ma page Twitter : https://t.co/2Le4PlqLxv
Ma page Officiel Facebook : https://t.co/H6Z0fjcWcKYVZA",TheKAIRI78,2018-06-10 11:26:23+00:00,"['thekairi78', 'fortnite']",24,2:13:27,118,11456,170319,0,hd,True,lx_R8C715Sc,0.0,0.0
BEST OF THEKAIRI78 S'ENERVE CONTRE UN ABONNE,"Salam les rhey, bienvenue sur ma chaîne youtube, su ma chaîne vous pourriez trouver des vlog et des lives sur FORTNITE, je compte sur vous pour vous abonner et mettre des pouces bleu sur mes vidéos pour plus de vidéo.

Pour me suivre sur les réseaux sociaux :
Twitter : https://twitter.com/TheKairi78  
Facebook : https://www.facebook.com/TheKairi78Officiel/ … …
Instagram : https://www.instagram.com/tk_officiel78/  

Partenariat :
-5% avec mon code promo TK78 sur les points PSN, Xbox Live, Jeux pc 
Lien PSN : http://www.psparadise.fr/  
Lien Xbox Live : http://www.xbxparadise.fr/  
Lien Jeux PC : http://www.pc-paradise.fr/  

Télécharger mon appli pour pouvoir être au courant de tout!
Lien de téléchargement Android : http://bit.ly/2tepY6b  
Sur IOS : http://apple.co/2uyovvq",TheKAIRI78,2018-06-10 10:12:28+00:00,"['thekairi78', 'fortnite', 'best of fortnite', 'best of thekairi78']",24,5:52,627,17617,173228,0,hd,True,B2Q1VEq-vp0,0.0,0.0
LE RAMADAN + LE SPORT SONT EN TRAIN DE ME TUER,"https://www.youtube.com/watch?v=gg1edea5X_Y

Le lien pour l'application android : https://play.google.com/store/apps/details?id=com.wizdeo.thekairi78

Application pour Itunes : https://itunes.apple.com/fr/app/the-kairi78-officiel/id1240230657?l=fr&ls=1&mt=8



Pour les Figurine bombarder de like:
https://t.co/8dh39v4rme
https://t.co/EEk3lrvakP
https://t.co/mptD1NgEgE
https://t.co/hZo0qvuCBv

Salem les rhey , bienvenue sur ma chaîne Youtube , dans ces vidéo la tu pourra trouver des FAQ , des uboxing de carte Pokemon , des vidéo de rachid enfin des vidéo IRL , hésite surtout pas a t'abonner a ma chaîne Youtube si ce genre de vidéo te plait , en vous souhaitant a tout un bon visionnage merci . 

-5%avec mon code promo TK78 sur les point PSN , Xbox Live , Jeux Pc 
Lien PSN : https://t.co/O9iP9aMc6s
Lien Xbox Live : https://t.co/0CrSloPN13
Lien Jeux PC : https://t.co/RorzlgUqJ1

Ma page Twitter : https://t.co/2Le4PlqLxv
Ma page Officiel Facebook : https://t.co/H6Z0fjcWcKYVZA",TheKAIRI78,2018-06-09 23:04:50+00:00,"['thekairi78', 'fortnite']",24,4:19:22,115,12752,241262,0,hd,False,CUEJWcHLCjU,0.0,0.0
VOS MERE CES DES DINOSAURE ILS SONT EN VOIE DE DISPARITION,"Salam les rhey, bienvenue sur ma chaîne youtube, su ma chaîne vous pourriez trouver des vlog et des lives sur FORTNITE, je compte sur vous pour vous abonner et mettre des pouces bleu sur mes vidéos pour plus de vidéo.

Pour me suivre sur les réseaux sociaux :
Twitter : https://twitter.com/TheKairi78  
Facebook : https://www.facebook.com/TheKairi78Officiel/ … …
Instagram : https://www.instagram.com/tk_officiel78/  

Partenariat :
-5% avec mon code promo TK78 sur les points PSN, Xbox Live, Jeux pc 
Lien PSN : http://www.psparadise.fr/  
Lien Xbox Live : http://www.xbxparadise.fr/  
Lien Jeux PC : http://www.pc-paradise.fr/  

Télécharger mon appli pour pouvoir être au courant de tout!
Lien de téléchargement Android : http://bit.ly/2tepY6b  
Sur IOS : http://apple.co/2uyovvq",TheKAIRI78,2018-06-09 20:02:23+00:00,"['thekairi78', 'fortnite', 'thekairi78 remix']",24,5:11,409,17664,277001,0,hd,True,l86NTMIdL9A,0.0,0.0
FORTNITE OMG LE RETOUR DE FA_ZZI !!!,"Salam les rhey, bienvenue sur ma chaîne youtube, su ma chaîne vous pourriez trouver des vlog et des lives sur FORTNITE, je compte sur vous pour vous abonner et mettre des pouces bleu sur mes vidéos pour plus de vidéo.

Pour me suivre sur les réseaux sociaux :
Twitter : https://twitter.com/TheKairi78  
Facebook : https://www.facebook.com/TheKairi78Officiel/ … …
Instagram : https://www.instagram.com/tk_officiel78/  

Partenariat :
-5% avec mon code promo TK78 sur les points PSN, Xbox Live, Jeux pc 
Lien PSN : http://www.psparadise.fr/  
Lien Xbox Live : http://www.xbxparadise.fr/  
Lien Jeux PC : http://www.pc-paradise.fr/  

Télécharger mon appli pour pouvoir être au courant de tout!
Lien de téléchargement Android : http://bit.ly/2tepY6b  
Sur IOS : http://apple.co/2uyovvq",TheKAIRI78,2018-06-09 09:31:21+00:00,"['thekairi78', 'fortnite', 'fortnite top 1', 'fortnite epic reaction', 'fortnite world record']",24,6:39,482,13744,141173,0,hd,True,Y22KiyHlxqk,0.0,0.0
JE LACHE LEBOUSEUH POUR MA COPINE,"https://www.youtube.com/watch?v=gg1edea5X_Y

Le lien pour l'application android : https://play.google.com/store/apps/details?id=com.wizdeo.thekairi78

Application pour Itunes : https://itunes.apple.com/fr/app/the-kairi78-officiel/id1240230657?l=fr&ls=1&mt=8



Pour les Figurine bombarder de like:
https://t.co/8dh39v4rme
https://t.co/EEk3lrvakP
https://t.co/mptD1NgEgE
https://t.co/hZo0qvuCBv

Salem les rhey , bienvenue sur ma chaîne Youtube , dans ces vidéo la tu pourra trouver des FAQ , des uboxing de carte Pokemon , des vidéo de rachid enfin des vidéo IRL , hésite surtout pas a t'abonner a ma chaîne Youtube si ce genre de vidéo te plait , en vous souhaitant a tout un bon visionnage merci . 

-5%avec mon code promo TK78 sur les point PSN , Xbox Live , Jeux Pc 
Lien PSN : https://t.co/O9iP9aMc6s
Lien Xbox Live : https://t.co/0CrSloPN13
Lien Jeux PC : https://t.co/RorzlgUqJ1

Ma page Twitter : https://t.co/2Le4PlqLxv
Ma page Officiel Facebook : https://t.co/H6Z0fjcWcKYVZA",TheKAIRI78,2018-06-08 20:59:52+00:00,"['thekairi78', 'fortnite']",24,2:16:1,44,10478,192499,0,hd,True,HBh6vDFiQ88,0.0,0.0
