Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed
Best of live Call Of Duty Black Ops 3,"Voilà un best of de notre live sur COD BO3 avec le Woop, des sportifs, des joueurs pros etc. et surtout le mode zombiiiiie !

Découvrez nos t-shirts ! ► http://www.cypriengaming.com
On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2015-11-25T17:00:03Z,"['call of duty black ops 3', 'live', 'cyprien', 'squeezie', 'cyprien gaming', 'best of', 'cod bo3']",20,13:24,745,22638,1077918,0,hd,True
ON FAIT LA PAIX ❤️ (clip Cyprien & Squeezie),"On ne pouvait plus continuer comme ça. Les bigorneaux font la paix avec les coquillages.
N'oubliez pas de vous abonner.

Merci à Fabien Cavalerie pour la réalisation, Martin Bonami pour le mix et toute l'équipe de production.",Bigorneaux & Coquillages,2019-03-22T18:53:46Z,"['clip', 'squeezie', 'cyprien', ""t'es le number one"", 'réconciliation', 'musique', 'dans mon coeur', 'chanson']",20,3:40,55192,722484,15253986,0,hd,True
"FIN DE LA CHAÎNE, EXPLICATION","LE COMPTEUR EN LIVE : https://www.youtube.com/user/CyprienGaming/live
C'est le moment critique de la chaîne et je me devais de vous prévenir de la situation entre Cyprien et Squeezie...
Merci de rester courtois dans les commentaires.",Bigorneaux & Coquillages,2019-03-01T16:25:46Z,"['fin', 'cyprien', 'squeezie', 'bigorneaux', 'coquillages', 'dispute']",20,2:28,30934,356428,8018086,0,hd,True
ON DEVINE LES TOURS D'UN MAGICIEN,"Cette fois-ci, on essaie de deviner les tours d'un magicien professionnel ! Alors, arrivera-t-il à nous avoir ?
La chaîne de Donovan : https://www.youtube.com/channel/UCZPjR0UDH1DFFnCvy-e-iYQ",Bigorneaux & Coquillages,2018-11-08T17:15:44Z,"['tours de magie', 'cyprien', 'squeezie', 'donovan', 'devine', 'on devine les tours de magie', 'magie', 'bigorneaux et coquillages']",20,11:19,6706,324575,9752340,0,hd,True
NOTRE REACTION A MCFLY & CARLITO (le seum en gros),REDIFFUSION DU LIVE. Le pire jour de nos vies a désormais une date : le 31 janvier 2019.,Bigorneaux & Coquillages,2018-10-09T17:33:07Z,"['réaction', 'cyprien', 'squeezie', 'mcfly', 'carlito', 'roméo et juliette', 'théatre']",20,29:37,15091,350126,8504019,0,hd,True
DÉFI YOUTUBE WARRIOR 4 PERDU,"Lien de la billetterie :  https://www.weezevent.com/squeezie-et-cyprien-revisitent-romeo-et-juliette

Et oui, ce sera retransmis sur YouTube d'une manière ou d'une autre, ne vous inquiétez pas !

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2018-10-09T16:02:24Z,"['cypriengaming', 'cyprien gaming', 'pardon']",20,4:42,8911,256095,3755957,0,hd,True
ON DÉCOUVRE VOS DESSINS !,"Alors là... on voulait décorer notre studio avec vos dessins et on a été SUBJUGUÉ, ABASOURDI, ÉMERVEILLÉ !

Bravo à tous les participants, vous êtes les meilleures personnes sur terre.",Bigorneaux & Coquillages,2018-10-08T15:12:12Z,"['fan art', 'cyprien', 'squeezie', 'dessins', 'fanart', 'concours', 'déco', 'bigorneaux', 'coquillages']",20,10:41,6368,278342,7471078,0,hd,True
VOUS CHOISISSEZ NOS PHOTOMONTAGES !,"On a pioché parmi vos commentaires pour réaliser les photomontages les plus incroyables. On va être exposé au Louvres. J'exagère à peine.

Abonne-toi, met la cloche, saute à pied joint, soutien une association caritative.",Bigorneaux & Coquillages,2018-10-02T17:30:41Z,"['photomontage', 'photoshop', 'concours', 'commentaires', 'bigorneaux', 'coquillages', 'cyprien', 'squeezie']",20,9:7,6892,268426,5308270,0,hd,True
TU PERDS = ON REGARDE TES PHOTOS DOSSIER,"Le concept est simple : tu perds la partie, on peut montrer n'importe quelle photo de ton téléphone. Même LES PIRES !

Abonne-toi, rejoins nous où tu veux bref tacompri.",Bigorneaux & Coquillages,2018-09-14T13:43:44Z,"['cyprien', 'squeezie', 'bigorneaux et coquillages', 'tu perds', 'photo dossier', 'dossiers', 'honte', 'slap city']",20,10:26,11160,379261,7765799,0,hd,True
ON LIT VOS SMS CAR SON NUMÉRO A FUITÉ...,Squeezie a fait fuiter le numéro de Cyprien. Alors ça fait des centaines de SMS à lire et vous avez de l'imagination.,Bigorneaux & Coquillages,2018-07-25T14:34:00Z,"['lit vos sms', 'numéro cyprien', 'squeezie', 'cyprien', 'vos messages', 'vos texto', 'leak', 'numero']",20,10:44,15246,571957,15182076,0,hd,True
ON TESTE DES VÉHICULES IMPROBABLES 2,"Vous connaissez le one wheel skate ? Vous connaissez le solowheel ? On essaie des engins du futur !
N'hésite pas à t'abonner petit crustacé.

Et merci à Urban 360 pour les véhicules ! Leur store ici : https://store.urban360.com/",Bigorneaux & Coquillages,2018-07-13T10:43:32Z,"['véhicules improbables', 'cyprien', 'squeezie', 'one wheel skate', 'solowheel', 'skateboard électronique', 'coquillages et bigorneaux']",20,10:38,5736,306989,9160770,0,hd,False
CONCOURS DU MEILLEUR MONTAGE PHOTO,"On s'affronte sur un concours de montage photo. Qui va gagner ? À VOUS DE VOTER !
Abonne-toi cher crustacé.",Bigorneaux & Coquillages,2018-06-29T14:44:46Z,"['concours', 'montage photo', 'photoshop', 'cyprien', 'squeezie', 'bigorneaux et coquillages', 'photomontage', 'zaz']",20,10:48,27058,269362,6324765,0,hd,True
ON ESSAIE LE SURF (Vlog Los Angeles 2),"Deuxième Vlog à Los Angeles, on va au salon de l'E3, on essaie le surf et on va découvrir l'Overwatch League !
Merci Blizzard d'avoir sponsorisé ce vlog !",Bigorneaux & Coquillages,2018-06-23T13:46:24Z,"['coquillages et bigorneaux', 'cyprien squeezie surf', 'e3 2018', 'cyprien squeezie', 'vlog los angeles']",20,10:48,3661,164708,3932817,0,hd,True
ON ROULE EN HARLEY DAVIDSON (Vlog Los Angeles 1),"Notre premier VLOG à Los Angeles pendant l'E3, le salon du jeu vidéo ! Lucas a un gage pendant tout le séjour et on se rend en Harley à la conférence Ubisoft.
Merci à Ubisoft d'avoir sponsorisé ce vlog !",Bigorneaux & Coquillages,2018-06-20T17:48:53Z,"['bigorneaux et coquillages', 'cyprien vlog los angeles', 'squeezie vlog los angeles', 'harley davidson', 'squeezie harley davidson', 'cyprien harley davidson', 'vlog']",20,14:27,4331,158758,3564671,0,hd,False
DEVINER LE SECRET DU TOUR DE MAGIE 2,"Les plus grands prestidigitateurs d'Europe sont de retour avec des tours de magie encore plus impressionnants. Saurez-vous deviner le truc ?

Pour voir le premier épisode :  https://www.youtube.com/watch?v=SC2ORrLVZdc",Bigorneaux & Coquillages,2018-06-05T16:42:30Z,"['cyprien squeezie', 'bigorneaux coquillages', 'squeezie magie', 'cyprien magie', 'tour de magie', 'apprendre tour de magie']",20,11:17,8677,310233,7129092,0,hd,True
ON A RETROUVÉ NOS OBJETS D'ENFANCE,"Vote pour savoir qui est Bigorneau et qui est Coquillage : https://twitter.com/CyprienGaming/status/1001837662137970688

On a cherché et trouvé les jouets qui ont fait notre enfance et on vous les présente. Coup de vieux dans 3... 2... 1...
Merci Timothée Hochet pour sa réalisation d'exception, David Fincher est jaloux.",Bigorneaux & Coquillages,2018-05-30T14:53:43Z,"[""objets d'enfance"", ""jouets d'enfance"", 'cyprien', 'squeezie', 'jojos', 'diabolo', 'yoyo', 'trickybille']",20,11:6,78069,303467,9554225,0,hd,True
ON TESTE DES VÉHICULES IMPROBABLES,"Salut les crustacés ! Il y a plein de nouveaux véhicules, des bons, des moins bons. Alors on les teste et on vous dit.

Abonne-toi cordialement.",Bigorneaux & Coquillages,2018-05-15T15:09:40Z,"['cyprien squeezie', 'véhicules improbables', 'véhicules wtf', 'bigorneaux coquillages', 'velo', 'électrique', 'skateboard électrique']",20,11:4,21400,389410,12095531,0,hd,False
PLAGIAT OU PAS PLAGIAT ?,"Cyprien et Squeezie décortiquent les musiques accusées de plagiat. Quel va être le verdict de l'inspecteur Copie et de l'inspecteur Plagiat ?

Abonne-toi en cliquant sur le bouton ""s'abonner""",Bigorneaux & Coquillages,2018-05-08T14:48:54Z,"['plagiat', 'plagiat musique', 'plagiat cyprien', 'plagiat squeezie', 'bigorneaux et coquillages', 'pires plagiats']",20,10:21,10671,313153,6487262,0,hd,False
IL FAUT DEVINER LE SECRET DU TOUR DE MAGIE,"Avez-vous déjà réussi à trouver le secret d'un tour de magie ? Nous non, pas avant ce jour fatidique.

Le tour de carte : https://www.youtube.com/watch?v=i91qATghcZI
La colle : https://www.youtube.com/watch?v=nmOoJC72H_I
Le papier troué : https://www.youtube.com/watch?v=fHNBOH9q07k
Les bouchons : https://www.youtube.com/watch?v=rXYyL_V5uYQ
La pièce dans la feuille : https://www.youtube.com/watch?v=fHNBOH9q07k

Sinon abonne-toi, rejoins nos réseaux sociaux toussa quoi, tu cherches le lien tu te débrouilles.",Bigorneaux & Coquillages,2018-05-01T10:57:05Z,"['cyprien squeezie', 'cypriengaming', 'squeezie magie', 'cyprien magie', 'secret tour de magie', 'truc tour de magie']",20,10:35,12909,359463,7178790,0,hd,True
ON REGARDE LES 1ÈRES VIDÉOS DE LA CHAÎNE,"On est de retour, chaque semaine, dans notre nouveau studio.
Votez pour le nom de la chaîne ici : https://twitter.com/CyprienGaming/status/988811267086409728
(votez pour ""Cyprien & Squeezie"" siouplé faites pas les tarba)

Sinon abonne-toi, rejoins nos réseaux sociaux toussa quoi, tu cherches le lien tu te débrouilles.",Bigorneaux & Coquillages,2018-04-24T16:14:31Z,"['Cyprien Squeezie', 'bigorneaux et coquillages', 'on regarde nos premières vidéos', 'cyprien gaming', 'nouveau studio', 'cyprien', 'squeezie']",20,15:42,44266,421587,10271804,0,hd,True
CETTE CHOSE EST PEACH ?! - Mario + Lapins Crétins,"Avec Jimmy on ne sait pas si c'est le décalage horaire, mais la princesse a bien changé! 

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming

La chaine de Jimmy ► http://bit.ly/1pAR650",Bigorneaux & Coquillages,2017-06-25T18:09:37Z,"['cypriengaming', 'cyprien gaming']",20,9:19,2974,57541,1840525,0,hd,False
SUPERMAN PLUS FORT QUE BATMAN ? - Injustice 2,"Squeezie plus fort que Cyprien ?
Merci à Warner Games d'avoir sponsorisé cette vidéo

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2017-05-23T18:16:44Z,"['cypriengaming', 'cyprien gaming']",20,8:26,1958,80023,2739960,0,hd,False
TROP DE MORT !!! - Ultimate Chicken Horse,"On a réussi à finir un niveau du jeu ! Presque sans mourir ! Ah ben non en fait... 

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2017-05-03T15:32:48Z,"['cypriengaming', 'cyprien gaming']",20,8:43,1378,80629,2766494,0,hd,False
VIENS ON SE RENCONTRE !,"Bonjour, viens à la Video City Paris : 
https://www.videocityparis.com/mon-compte/login?target=ticket

Aucune caméra n'a été maltraitée pendant cette séquence.

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2017-03-28T15:05:18Z,"['cypriengaming', 'cyprien gaming', 'viens on se rencontre', 'vcp', 'video city paris']",20,32,913,44417,851650,0,hd,True
LE TROISIÈME JOUEUR - Wand Wars,"On s'affronte à coups de baguette ! Cyprien va-t-il gagner ? 

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2017-03-22T16:37:38Z,"['cypriengaming', 'cyprien gaming', 'Wand Wars']",20,8:7,2546,56801,1771652,0,hd,False
LES TRAQUEURS DE ROBOTS - Horizon Zero Dawn,"Cyprien Gaming VS Wild

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming

Merci à Sony PlayStation d'avoir sponsorisé cette vidéo
https://store.playstation.com/#!/fr-fr/jeux/horizon-zero-dawn/cid=EP9000-CUSA01021_00-HRZ0000000000000",Bigorneaux & Coquillages,2017-03-08T15:00:04Z,"['cypriengaming', 'cyprien gaming']",20,7:19,1618,41050,1452044,0,hd,True
Tournoi FIFA 17 - La Finale SQUEEZIE vs MHD  !,"On tient deux champions, pour la grande FINALE du tournoi FIFA 17 ! 
On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2017-01-12T18:02:28Z,"['cypriengaming', 'cyprien gaming', 'fifa 17', 'squeezie', 'mhd', 'finale', 'fifa', '2017']",20,11:52,2892,68442,3293339,0,hd,True
L'HUMILIATION TOTALE - Frog Climbers,"Il y a des jeux qu'il vaut mieux jouer seul parfois, l'humiliation est trop grande. On perd pas espoir Cyprien, un jour tu gagneras. Mais pas à Frog Climbers avec Squeezie, ça c'est certain.

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2017-01-10T15:38:54Z,"[""l'humiliation totale"", 'frog climbers', 'cyprien', 'squeezie', 'cyprien gaming', 'frog climbers gameplay']",20,8:17,2101,75902,3249204,0,hd,False
HUMOUR DE MAUVAIS GOÛT - Blanc manger coco,"Partie jouée avec Blanc-Manger Coco - La Recave - Extension N°1 - 200 cartes
Et pour ceux qui veulent en savoir plus : 
Blanc-Manger Coco - Le jeu de base de 600 cartes : https://www.amazon.fr/Blanc-Manger-Coco-adultes-produit-enfants/dp/B00TWHJ9QI/ref=sr_1_1?s=toys&ie=UTF8&qid=1481588536&sr=1-1&keywords=blanc-manger%2Bcoco&th=1
Blanc-Manger Coco - La Recave : https://www.amazon.fr/Blanc-Manger-Coco-adultes-produit-enfants/dp/B016C2SHWM/ref=sr_1_1?s=toys&ie=UTF8&qid=1481588536&sr=1-1&keywords=blanc-manger%2Bcoco&th=1

Merci à Blanc Manger Coco d’avoir sponsorisé cette vidéo

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2016-12-22T16:00:02Z,"['cypriengaming', 'cyprien gaming', 'blanc manger coco', 'blanc', 'manger', 'coco', 'squeezie']",20,6:58,3584,230671,6858950,0,hd,True
SQUEEZIE vs TONY YOKA - Tournoi FIFA 17,"SAY LE RETOUR DU TOURNOI FIFA, place aux demi-finales avec SQUEEZIE contre TONY YOKA et MHD contre PIERRE MENES !

On est sur Facebook ► https://facebook.com/chaineCyprienGaming
Abonne-toi à la chaine ► http://bit.ly/CyprienGaming",Bigorneaux & Coquillages,2016-12-05T15:06:16Z,"['cypriengaming', 'cyprien gaming', 'Pierre Menes', 'Squeezie', 'fifa 17', 'Tournoi', ""let's play""]",20,10:1,1231,29143,1090891,0,hd,True
