Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed
PNL - Blanka [Clip Officiel],"« Blanka », cinquième extrait du nouvel album de PNL ""Deux Frères"", disponible maintenant en deux versions physiques : https://ffm.to/pnldeuxfreres

Réalisation: QLF 
Producteur : QLF Records 
Beat : Yann Dakta & Rednose
Outro : BBP

1er Assistant Réalisateur : Driss Lumbroso 
Directeur de production : Alliocha Madeuf
DOP : Antony Diaz
1er Assistant Caméra : Arslan Terrien 
Steadicamer : Sacha Naceri
Drone : Gary Bialas 
Chef Électricien : Basile Barniske 

Étalonnage : Sébastien Mingam 

Assistant monteur : Theo Asciak - Filature Production

Coordinateur de production en Jamaique : Denis Brown
Régisseuse Général : Oya Oezcan
___

INSTA : https://instagram.com/pnlmusic
FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic

#PNL #DEUXFRERES

QLF Records - 2019",PNL,2019-08-02T18:00:04Z,"['PNL', 'Blanka', 'Clip', 'QLF', 'Deux frères', 'Au DD', 'Street Fighter', 'Ademo', 'N.O.S', 'PNL 2019', 'Le monde chico', 'Dans la légende', 'Que la famille']",10,5:5,37307,819777,90098193,0,hd,True
PNL - Tahia,"« Tahia », nouveau morceau disponible maintenant sur toutes les plateformes de streaming: https://fanlink.to/tahia 
_______

INSTA : https://instagram.com/pnlmusic
FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic

#PNL",PNL,2019-07-19T21:28:43Z,"['PNL', 'Le monde ou rien', 'le', 'chico', 'DA', 'QLF', 'que', 'la', 'famille', 'jsuis qlf', 'Dans', 'légende']",10,3:7,24757,327961,11566157,0,hd,True
PNL - Deux Frères [Clip Officiel],"« Deux Frères », quatrième extrait du nouvel album de PNL « Deux Frères », disponible maintenant en deux versions physiques : https://ffm.to/pnldeuxfreres

Réalisation: QLF
Producteur : QLF Records
Production exécutive : Arthur Catton & Nizar El Tayeb (Big Productions)
Beat : BBP

DOP : Quentin de Lamarzelle
Chef Décorateur : Jean Miel 
Directrice de production : Ophélie Stavropoulos
1er Assistant: Driss Lumbroso
Steadicamer: Sacha Naceri
Post Production : MIKROS-MPC & Filature 
Drone : Live Drone (Loic Borne & Laurent Doumas) & Gary Bialas
Avec la participation du CNC
_______

INSTA : https://instagram.com/pnlmusic
FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic

#PNL #DEUXFRERES

QLF Records - 2019",PNL,2019-05-03T20:16:43Z,"['PNL', 'Deux Frères', 'QLF', 'Clip', 'PNL 2019', 'Dans la légende', 'Que la famille', 'le monde chico']",10,7:39,36298,741728,77037548,0,hd,True
PNL - Au DD [Clip Officiel],"« Au DD », troisième extrait du nouvel album de PNL ""Deux Frères"", disponible maintenant en deux versions physiques : https://ffm.to/pnldeuxfreres

Réalisation: QLF
Producteur : QLF Records
Production exécutive : Arthur Catton (Big Productions)
Beat : Nk.F x Joa [TrackBastardz]

DOP : Quentin de Lamarzelle
Chef Décorateur : Jean Miel 
Directrice de production : Ophélie Stavropoulos
1er Assistant: Driss Lumbroso
Post Production : MIKROS-MPC (sup Vfx : Patrick Bennar)
Drone : Thierry Masson et Timothée Talendier 
_________________

INSTA : https://instagram.com/pnlmusic
FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic

#PNL #DEUXFRERES

QLF Records - 2019",PNL,2019-03-22T19:00:01Z,"['PNL', 'Au DD', 'QLF', 'Deux frères', 'Le monde chico', 'Que la famille', 'Dans la légende', 'Clip tour eiffel', 'PNL 2019', 'tour eiffel', 'Clip']",10,4:51,135996,1972388,203991065,0,hd,True
PNL - A l'Ammoniaque [Clip Officiel],"Nouvel album « Deux Frères » disponible maintenant : https://fanlink.to/Deuxfreres

Abonne-toi à la chaîne ☞ http://bit.ly/1XGW3w3
Merchandising : https://shop.qlf.fr

___________________________________________________

Réalisé par : Kamerameha, Kim Chapiron, Mess
DOP : Benoit Soler
Chef Décorateur : Arno Roth
Producteur : QLF Records
Production exécutive : Phantasm

Beat : Anaika, Sam H, et IBØ
___________________________________________________

FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic
INSTA : https://instagram.com/pnlmusic

#PNL #DEUXFRERES

QLF Records - 2018",PNL,2018-06-22T17:59:15Z,"['PNL', ""A l'Amoniaque"", 'QLF', 'QLF Records', 'PNL 2018']",10,5:47,80976,1365913,146486322,0,hd,True
PNL - Jusqu'au dernier gramme [Clip Officiel] - Part. Finale,"Nouvel album « Deux Frères » disponible maintenant : https://fanlink.to/Deuxfreres

Abonne-toi à la chaîne ☞ http://bit.ly/1XGW3w3
Merchandising : https://shop.qlf.fr
Album ""Dans La légende"" disponible :
☞ Apple Music : https://apple.co/2Ha93eX
☞  Spotify : https://spoti.fi/2IDTIFJ
☞  Deezer : http://bit.ly/2tFWHmT

-----------------------------------------------------------------------------------

Réal by:
- Kamerameha:
Facebook : https://fr-fr.facebook.com/kamerameha…
Instagram : https://www.instagram.com/kamerameha/ 

- Mess:
Facebook : https://www.facebook.com/messproduction
Instagram : https://www.instagram.com/mess_qlf/

Prod Yann Dakta & Rednose

-----------------------------------------------------------------------------------

FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic
INSTA : https://instagram.com/pnlmusic

#PNL #DANSLALEGENDE

QLF Records - 2017",PNL,2017-07-07T18:00:17Z,"['PNL', 'Hip Hop', 'QLF Records', ""jusqu'au dernier gramme"", 'Dans la légende', 'PNLmusik']",10,29:47,33664,477713,33580711,0,hd,True
PNL : On enverra Mowgli chercher médailles,"Nouvel album « Deux Frères » disponible maintenant : https://fanlink.to/Deuxfreres

Abonne-toi à la chaîne ☞ http://bit.ly/1XGW3w3
Merchandising : https://shop.qlf.fr
Album ""Dans La légende"" toujours disponible :
☞ https://PNL.lnk.to/DansLaLegende
☞ Apple Music : https://apple.co/2Ha93eX
☞ Spotify : https://spoti.fi/2IDTIFJ
☞ Deezer : http://bit.ly/2tFWHmT

-----------------------------------------------------------------------------------
Prod by BBP (QLF Records) :

Insta : https://www.instagram.com/bbpprod/
Twitter : https://twitter.com/bbpprod
FB : https://www.facebook.com/BBPprod/

------------------------------------------------------------------------------------
Les playlists de PNL :

- PNL - Clips Officiels : http://bit.ly/2sm19Y5
- PNL - Dans la Légende // 2016 : http://bit.ly/2rMxx7F
- PNL - Le monde Chico // 2015 : http://bit.ly/2swkAfi
- PNL - Que La Famille // 2015 : http://bit.ly/2rzkPVE


FB : https://www.facebook.com/Pnlmusic
Twitter : https://twitter.com/pnlmusic
Insta : https://instagram.com/pnlmusic

QLF Records - 2017",PNL,2017-05-30T18:00:02Z,"['PNL', 'Hip Hop', 'French Hip Hop', 'QLF Records', 'Mowgli', 'dans la légende', 'médaille', 'béné', 'onizuka', 'naha', 'DA', 'PNLmusik']",10,4:32,12400,248965,7625128,0,hd,True
PNL - Bené [Clip Officiel] - Part.3,"Nouvel album « Deux Frères » disponible maintenant : https://fanlink.to/Deuxfreres

Abonne-toi à la chaîne ☞ http://bit.ly/1XGW3w3
Merchandising : https://shop.qlf.fr
Album ""Dans La légende"" disponible :
☞ Apple Music : https://apple.co/2Ha93eX
☞ Spotify : https://spoti.fi/2IDTIFJ
☞ Deezer : http://bit.ly/2tFWHmT

-----------------------------------------------------------------------------------
Réal by :
- Kamerameha:
Fb: https://fr-fr.facebook.com/kamerameha...
Twitter: https://twitter.com/kamerameha?lang=fr
- Mess:
Fb: https://www.facebook.com/messproduction
Twitter: https://twitter.com/messprd
-----------------------------------------------------------------------------------
Prod Vice Beats 
Fb : https://www.facebook.com/vicebeats1
Twitter : @ViceBEATS
Musiques additionnelles BBP (QLF Records)
Fb : https://www.facebook.com/BBPprod/
Twitter : @BBPprod
------------------------------------------------------------------------------------
Les playlists de PNL :
- PNL - Clips Officiels : http://bit.ly/2sm19Y5
- PNL - Dans la Légende // 2016 : http://bit.ly/2rMxx7F
- PNL - Le monde Chico // 2015 : http://bit.ly/2swkAfi
- PNL - Que La Famille // 2015 : http://bit.ly/2rzkPVE

FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic
INSTA : https://instagram.com/pnlmusic

#PNL #DANSLALEGENDE

QLF Records - 2017",PNL,2017-02-10T18:58:38Z,"['PNL', 'le', 'chico', 'DA', 'QLF', 'que', 'la', 'famille', 'jsuis qlf', 'Dans', 'légende', 'Béné', 'bené', 'bene', 'onizuka', 'naha', 'DLL']",10,16:8,48767,541568,41375957,0,hd,True
PNL - Onizuka [Clip Officiel] - Part.2,"Nouvel album « Deux Frères » disponible maintenant : https://fanlink.to/Deuxfreres

Abonne-toi à la chaîne ☞ http://bit.ly/1XGW3w3
Merchandising : https://shop.qlf.fr
Album ""Dans La légende"" toujours disponible : 
☞ Apple Music : https://apple.co/2Ha93eX
☞ Spotify : https://spoti.fi/2IDTIFJ
☞ Deezer : http://bit.ly/2tFWHmT

----------------------------------------------------------------------------------
Réal by Mess : 
FB : https://www.facebook.com/messproduction
Insta : https://www.instagram.com/mess_qlf/

Prod BBP x Dolor
Musiques additionnelles BBP

BBP (QLF Records) :
Insta : https://www.instagram.com/bbpprod/
Twitter : https://twitter.com/bbpprod / @Dolor115
FB : https://www.facebook.com/BBPprod/ / Dolor

----------------------------------------------------------------------------------

Les playlists de PNL :
- PNL - Clips Officiels : http://bit.ly/2sm19Y5
- PNL - Dans la Légende // 2016 : http://bit.ly/2rMxx7F
- PNL - Le monde Chico // 2015 : http://bit.ly/2swkAfi
- PNL - Que La Famille // 2015 : http://bit.ly/2rzkPVE

FB : https://www.facebook.com/Pnlmusic
Twitter : https://twitter.com/pnlmusic
Insta : https://instagram.com/pnlmusic

#PNL #DANSLALEGENDE

QLF Records - 2016",PNL,2016-11-04T18:58:47Z,"['Onizuka', 'PNL', 'Hip Hop', 'French Hip Hop', 'QLF Records', 'dans la légende', 'PNLmusik']",10,13:28,60400,593083,68518836,0,hd,True
PNL - Naha [Clip Officiel] - Part.1,"Nouvel album « Deux Frères » disponible maintenant : https://fanlink.to/Deuxfreres

Abonne-toi à la chaîne ☞ http://bit.ly/1XGW3w3
Merchandising : https://shop.qlf.fr
Album ""Dans La légende"" toujours disponible 
☞ Apple Music : https://apple.co/2Ha93eX
☞ Spotify : https://spoti.fi/2IDTIFJ
☞ Deezer :http://bit.ly/2tFWHmT 

___________________________________________________
Réal by:
Mess: FB: https://www.facebook.com/messproduction
___________________________________________________
Prod by BBP :
Facebook: https://www.facebook.com/BBPprod/ 
Twitter: https://twitter.com/BBPprod 
___________________________________________________
Les playlists de PNL :
- PNL - Clips Officiels : http://bit.ly/2sm19Y5
- PNL - Dans la Légende // 2016 : http://bit.ly/2rMxx7F
- PNL - Le monde Chico // 2015 : http://bit.ly/2swkAfi
- PNL - Que La Famille // 2015 : http://bit.ly/2rzkPVE

FB : https://www.facebook.com/Pnlmusic
TWITTER : https://twitter.com/pnlmusic
INSTA : https://instagram.com/pnlmusic

#PNL #DANSLALEGENDE

QLF Records - 2016",PNL,2016-09-15T17:57:14Z,"['PNL', 'DA', 'QLF', 'que', 'la', 'famille', 'jsuis qlf', 'Dans la légende', 'Naha']",10,8:1,56479,860811,127596822,0,hd,True
