Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed
Maître Gims - Bella (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Bella (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-09-02T07:00:08Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims bella', 'maitre gims bella', 'bella', 'bella live', 'bella live gims', 'Bella', 'Hip-Hop/Rap', 'Jive Epic', 'Maître Gims']",10,4:27,548,20515,1696446,0,hd,True
Maître Gims - Brisé (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Brisé (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-09-02T07:00:05Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims brisé', 'maitre gims brisé', 'brisé', 'brisé live', 'brisé live gims', 'Brisé', 'Hip-Hop/Rap', 'Jive Epic', 'Maître Gims']",10,3:40,177,5635,328291,0,hd,True
Maître Gims - Boucan (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Boucan (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-09-02T07:00:04Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims boucan', 'maitre gims boucan', 'boucan', 'boucan live', 'boucan live gims', 'Boucan', 'Hip-Hop/Rap', 'Jive Epic', 'Maître Gims']",10,1:29,68,2409,122222,0,hd,True
Maître Gims - Désolé (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Désolé (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-09-02T07:00:01Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims desole', 'maitre gims desole', 'desole', 'desole live', 'desole live gims', 'Désolé', 'Hip-Hop/Rap', 'Jive Epic', 'Maître Gims']",10,,640,27402,1645409,0,hd,True
Maître Gims - Ma direction (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Ma Direction (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-08-30T07:00:13Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims ma direction', 'maitre gims ma direction', 'ma direction', 'ma direction live', 'ma direction live gims', 'Hip-Hop/Rap', 'Jive Epic', 'Ma direction', 'Maître Gims']",10,3:48,149,4793,239124,0,hd,True
Maître Gims - Tout donner (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Tout donner (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-08-30T07:00:11Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims tout donner', 'maitre gims tout donner', 'tout donner', 'tout donner live', 'tout donner live gims', 'Hip-Hop/Rap', 'Jive Epic', 'Maître Gims', 'Tout donner']",10,3:58,185,5065,310404,0,hd,True
Maître Gims - Zombie (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Zombie (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-08-30T07:00:06Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims zombie', 'maitre gims zombie', 'zombie', 'zombie live', 'zombie live gims', 'Hip-Hop/Rap', 'Jive Epic', 'Maître Gims', 'Zombie']",10,3:4,235,6042,339404,0,hd,True
Maître Gims - Loin (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Loin (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-08-30T07:00:03Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims Loin', 'maitre gims loin', 'loin', 'loin live', 'loin live gims', 'Hip-Hop/Rap', 'Jive Epic', 'Loin', 'Maître Gims']",10,4:22,102,3670,206346,0,hd,True
Sapés comme jamais (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Sapés comme jamais (Live à l'AccorHotels Arena 2016 - Warano Tour)

Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-08-28T07:00:09Z,"['Sapes comme jamais', 'Hip-Hop/Rap', 'Jive Epic', 'Maître Gims feat. Alonzo', 'Gradur', 'Keblack & Awa Imani', 'Sapés comme jamais']",10,7:41,480,13630,2436905,0,hd,True
Maître Gims - Ma beauté (Warano Tour à l'AccorHotels Arena 2016),"L’album « Mon Cœur Avait Raison » fêtes ses 5 ans !
Gims – Ma beauté (Live à l'AccorHotels Arena 2016 - Warano Tour)
Ecoutez les plus grands titres de Gims ici :  https://MaitreGims.lnk.to/GimsID

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook : https://www.facebook.com/maitregimsoff
Instagram : https://instagram.com/maitregims
Twitter : https://twitter.com/maitregims
Snapchat : Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Abonne-toi à la chaîne : http://bit.ly/2q6P6Ni

#Gims #MonCoeurAvaitRaison #WaranoTour",MaitreGimsVEVO,2020-08-28T07:00:04Z,"['Gims', 'Maitre gims', 'maitre gims live', 'gims live', 'gims accor', 'maitre gims accor', 'gims accor hotel', 'maitre gims accor hotel', 'gims accor hotel arena', 'maitre gims accor hotel arena', 'gims 2015', 'gims best of live', 'maitre gims best of live', 'gims hits live', 'maitre gims hits live', 'maitre gims 2015', 'Gims ma beaute', 'maitre gims ma beaute', 'ma beaute', 'ma beaute live', 'ma beaute live gims', 'Hip-Hop/Rap', 'Jive Epic', 'Ma beauté', 'Maître Gims']",10,3:5,135,2965,180470,0,hd,True
