Title,Description,Channel Title,Publish time,Tags,Category,Duration,Number of comments,Number of likes,Number of views,Number of favorites,Video quality,Licensed
Synapson & Bonga - Mona Ki Ngi Xica (2022 Edit),"Stream: https://fanlink.to/MonaKiNgiXica

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi


Follow Synapson
Spotify: https://open.spotify.com/artist/5EGOerlVYxwqxaTLEWumBR?si=fcYb2ZpkQ-WuRENjBzhUmQ
Instagram : https://www.instagram.com/synapson 
SoundCloud : https://soundcloud.com/synapson 
Facebook : https://www.facebook.com/thesynapson/ 
Twitter : https://www.twitter.com/synapson",TheSoundYouNeed,2022-04-12T17:32:08Z,"['Mona ki xica', 'bonga', 'social club', 'synapson']",10,3:3,29,865,37495,0,hd,True
Catching Flies - Diamonds,"Stream 'Diamonds': https://ffm.to/cfdiamonds

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

☞ Follow Catching Flies
Spotify: https://tinyurl.com/y3lbbcym
Apple Music: https://tinyurl.com/y2cwr4v5
Youtube: https://www.youtube.com/catchingfliesmusic/
Soundcloud: https://soundcloud.com/catchingfliesmusic/
Instagram: http://instagram.com/catchingfliesmusic
Facebook: http://facebook.com/catchingfliesmusic
Twitter: http://twitter.com/catchingfliesuk

Art by Xuebing Du",TheSoundYouNeed,2022-04-05T16:58:45Z,"['aphex twin', 'april', 'catching flies', 'diamonds', 'the sound you need']",10,2:5,21,492,23097,0,hd,True
Hermitude - When You Feel Like This (feat. The Jungle Giants),"Stream/DL: https://elefant.lnk.to/WYFLT

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

☞ Follow Hermitude
https://instagram.com/hermitude
http://www.hermitude.com/
https://soundcloud.com/hermitude
http://www.facebook.com/hermitude

☞ Follow The Jungle Giants
http://thejunglegiants.com/",TheSoundYouNeed,2022-03-30T15:26:49Z,"['disclosure', 'flume', 'hermitude', 'jungle', 'the sound you need', 'when you feel like this']",10,3:46,16,485,21240,0,hd,False
Saavan - Running Short,"Stream 'Running Short': https://lnk.to/Saavan_Running_Short

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

- Follow Saavan :
Instagram : https://www.instagram.com/wearesaavan
Spotify : https://rb.gy/wgxfwb
Facebook : https://www.facebook.com/wearesaavan


Art by Madeleine Gross
https://www.madeleinegross.com",TheSoundYouNeed,2022-03-23T17:37:14Z,"['chapters', 'odesza', 'running', 'saavan', 'short', 'thesoundyouneed', 'tsyn']",10,3:37,21,594,20053,0,hd,True
Sacha Rudy - 405,"Stream/Buy: https://sacharudy.lnk.to/somewhere

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

☞ Follow Sacha Rudy
Instagram : https://www.instagram.com/sacharudy/
Facebook : https://www.facebook.com/sacharudy/
Spotify: https://open.spotify.com/artist/5oq46vINX6yvYPAUaAf25x?si=eWyQ1KekQsmEFVt-ADPDlA

Painting by Lesley Vance",TheSoundYouNeed,2022-03-09T17:39:56Z,"['405', 'Blake', 'James', 'Sacha', 'rudy']",10,3:22,12,473,25258,0,hd,True
Adi Oasis - Maintain (Jafunk Remix),"Stream/DL: https://fanlink.to/MaintainJafunkRemix

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

☞ Follow Adi Oasis
Website: https://www.adelineofficial.com
Spotify: https://open.spotify.com/artist/5RRfTrwXUGYiBB0DMV4hyh?si=A7N7Ez9qQcmHiaPASrCdyQ
SoundCloud: https://soundcloud.com/adeline-michele
Instagram: https://www.instagram.com/adeline

☞ Follow Jafunk
Instagram: https://www.instagram.com/jafunk_official/?hl=en
Spotify: https://open.spotify.com/user/jafunkofficial
Facebook: https://www.facebook.com/jafunkofficial/​
SoundCloud: https://soundcloud.com/jafunkofficial/​
Twitter: https://twitter.com/jafunkofficial/​",TheSoundYouNeed,2022-02-18T18:09:57Z,"['Adeline', 'jafunk', 'maintain', 'tsyn']",10,3:14,16,748,37565,0,hd,True
De Rien - Witch Hunt,"Stream on Spotify: https://open.spotify.com/track/1Ag2YvFkDf2zo7Fg25pEx3?si=a35c146502dc4c94

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

☞ Follow De Rien
Spotify : https://open.spotify.com/artist/1cXMEOMaLm3TNWP8lo4AsS?si=hnhtBnhxTZi94DeMcKd8hw 
Instagram : https://www.instagram.com/derien_music
SoundCloud: https://soundcloud.com/derienmusic
Twitter : https://twitter.com/derienmusic


Art by Nicole Ginelli
https://www.nicoleginelli.com",TheSoundYouNeed,2022-01-26T17:18:13Z,"['De rien witch hunt', 'derien', 'the sound you need', 'sound you need', 'Louis the child']",10,3:1,22,796,42078,0,hd,True
Sacha Rudy - Upside Down,"Stream/DL: https://sacharudy.lnk.to/upsidedown

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

☞ Follow Sacha Rudy
Instagram : https://www.instagram.com/sacharudy/
Facebook : https://www.facebook.com/sacharudy/
Spotify: https://open.spotify.com/artist/5oq46vINX6yvYPAUaAf25x?si=eWyQ1KekQsmEFVt-ADPDlA",TheSoundYouNeed,2021-12-10T17:19:31Z,[],10,3:1,24,698,43682,0,hd,True
Cabu - Process feat. Milan Ring & Ta-ku (Music Video),"The 1st Single from Cabu's upcoming EP 'SO FAR TO GO' out on 823 / Jakarta Records! 

Stream/DL: https://CabuMilanRingTaku.lnk.to/Process

☞ Follow Cabu
SC: https://soundcloud.com/cabubeats
STFY: https://open.spotify.com/artist/44hPDOKyTwkFxOL08UzNQE
IG: https://www.instagram.com/cabubeats/
FB: https://www.facebook.com/cabubeats
TW: https://twitter.com/cabubeats


☞ Follow Milan Ring
STFY: https://open.spotify.com/artist/3byro7ByLeWjNoWLAfiq0b?si=ElLtP13DRGOYR5Vl3lyD5A
IG: http://www.instagram.com/milan.ring
FB: https://www.facebook.com/milanringmusic/
TW: https://twitter.com/milanring?s=21
WEB: https://www.milanring.com

☞ Follow Ta-ku
STFY: https://open.spotify.com/artist/13Kd75NSHSp9lB4CaqPMOV?si=6NRqoJ1lSYKb_hzokNq-EA
IG: http://www.instagram.com/takubeats
SC: https://soundcloud.com/takugotbeats


823: http://www.instagram.com/823
Jakarta Records: http://www.instagram.com/jakartarecords


CREDITS:
Director: Adam Dionisio
Producer: Vienna Marie
Director Of Photgraphy: Ben Blyth
1st Assistant Director & Editor: Benjamin Baggay
Gaffer: David Tran
Production Assistant: Rosanna Mach
Colourist: Marcus Friedlander
BTS Photographer: Arvin Pagala
Wardrobe Stylist: Wardrobe Stylist
HMUA: Mivia Pinniger
Car Provided by: Joshua Zaiter
Ta-ku Footage Filmed by: Bernard Marcelo

TALENTS:
Male Lead: Danny De Silva
Female Lead: Sharon De Silva

CLUB EXTRAS:
Bethani Jarvis
Melissa McPhee
Borbala Bodonyi
Enzo Ustaris
Jeffrey Espinosa
Vinny Pham
Clarizze Aquino
Isaac Clayton",TheSoundYouNeed,2021-12-07T22:55:07Z,"['Cabu process', 'taku', 'Ta-ku', 'Milan ring', 'ta-ku cabu', 'Galimatias']",10,3:31,21,852,32931,0,hd,False
Tyde - Things We Used To Do,"Stream/DL: https://tyde.lnk.to/MantraEP

TheSoundYouNeed - Music at its finest
ll Spotify: http://spoti.fi/2oPClDv                    ll Soundcloud : http://bit.ly/Ud6RVg   
ll Facebook : http://on.fb.me/12s8hhw         ll Instagram : https://bit.ly/2I77cIi

☞ Follow Tyde
https://open.spotify.com/artist/0chEYcnxOGTcwHRfmoEOYH?si=zpu201CuTL-MYROzX4xelA
https://soundcloud.com/tydeuk
https://twitter.com/tydeuk
https://facebook.com/tydeuk
https://instagram.com/tydeuk
https://youtube.com/user/TydeMusic",TheSoundYouNeed,2021-12-03T15:22:56Z,"['Tyde things we used to do', 'kaasi', 'odesza', 'flume', 'the sound you need', 'sound you need']",10,4:53,25,943,60011,0,hd,True
